id,tag,value,copyCount,author
L1,动画,动画/你们腌太监也不会动人脑子啊！,0,网络
L2,动画,动画/与其被自己的本性牵着走而痛苦，倒不如试着改变自己。,0,网络
L3,动画,动画/你相信时间会抚平一切，可时过境迁，你已不复醒,0,网络
L4,动画,动画/给我高高的飞起来啊！,0,网络
L5,动画,动画/樱花满地集于我心，楪舞纷飞祈愿相随,0,网络
L6,动画,动画/人的好意是沉重的。,0,网络
L7,动画,动画/此身为剑所天成，身如钢铁，心似琉璃。,0,网络
L8,动画,动画/花开花落，再灿烂的星光也会消失。,0,网络
L9,动画,动画/如果当时我们说了再见，后来是不是就可以再见,0,网络
L10,动画,动画/应该可以了吧，我已经很努力了，应该可以抵达终点了…,0,网络
L11,动画,动画/人类的赞歌就是勇气的赞歌。,0,网络
L12,动画,动画/人生没有彩排，只有现场直播，所以做最好的自己。,0,网络
L13,动画,动画/不是别人，是我，承认了你的价值。,0,网络
L14,动画,动画/最有名的莫过于想死一次吗。,0,网络
L15,动画,动画/相比昨日明日，今天更适合开始。,0,网络
L16,动画,动画/虚伪的眼泪，会伤害别人，虚伪的笑容，会伤害自己。,0,网络
L17,动画,动画/邂逅本身，就是一种奇迹啊。,0,网络
L18,动画,动画/这样叹气的话，幸福会像四处逃散的小蜘蛛一样溜走的。,0,网络
L19,动画,动画/我并不羡慕别人的人生，这就是所谓幸福。,0,网络
L20,动画,动画/人类的赞歌是勇气的赞歌，人类的伟大是勇气的伟大！,0,网络
L21,动画,动画/人生没有彩排，只有现场直播，所以做最好的自己。,0,网络
L22,动画,动画/恋ではなく、爱でもなく、もっとずっと 深く重い。,0,网络
L23,动画,动画/我们所过的每个平凡的日常，也许就是连续发生的奇迹。,0,网络
L24,动画,"动画/不可结缘,徒增寂寞",0,网络
L25,动画,动画/不服从命令的人是人渣，抛弃同伴的人连人渣都不如。,0,网络
L26,动画,动画/只要学不死，就往死里学。,0,网络
L27,动画,动画/喜欢喜欢轻飘飘喜欢喜欢轻飘飘让我们一起来！,0,网络
L28,动画,动画/我会继续等着你，就算是一万二千年。,0,网络
L29,动画,动画/扎古不论怎么化妆都不可能变成高达的。,0,网络
L30,动画,动画/神啊，求求你。已经足够了。已经没事了。我们都会熬过去的。,0,网络
L31,动画,动画/在狂热思绪下喊出的爱情宣言中，存在着爱情的实体,0,网络
L32,动画,动画/时间是伟大的作家，总会写下完美的结局。,0,网络
L33,动画,动画/这样叹气的话，幸福会像四处逃散的小蜘蛛一样溜走的。,0,网络
L34,动画,动画/今天的风儿有些喧嚣啊。,0,网络
L35,动画,动画/在自称善意的之时，即存恶意。,0,网络
L36,动画,动画/以后继续来一起练习打篮球,0,网络
L37,动画,动画/喂？FFF团团长须川亮吗？这有一个要入团的！,0,网络
L38,动画,动画/你们人类让我明白了一个道理，那就是这个世界是不讲道理的,0,网络
L39,动画,动画/世界并不完美，却因此而美丽。,0,网络
L40,动画,动画/心，可是很重的。,0,网络
L41,动画,动画/每当心情郁闷的时候，用手托腮就好，手臂会因为帮上忙而开心的。,0,网络
L42,动画,动画/神啊，求求你。已经足够了。已经没事了。我们都会熬过去的。,0,网络
L43,动画,动画/为了做一名真正的绅士，即使明知必输无疑，也要有勇气接受挑战！,0,网络
L44,动画,动画/曾经发生过的事情不可能忘记，只不过是想不起而已。,0,网络
L45,动画,动画/如果说现在的日子过得很穷困，那我就去喜欢上穷困。,0,网络
L46,动画,动画/一举一动，都是承诺，会被另一个人看在眼里，记在心上的。,0,网络
L47,动画,动画/有你在的日子才是我的日常。,0,网络
L48,动画,动画/在面对这些强敌之前...一定要先将眼前敌人逐个打败吧。,0,网络
L49,动画,动画/当你想做一件事，却无能为力的时候，是最痛苦的。,0,网络
L50,动画,动画/就算鼻血流尽，也不能放弃妄想。,0,网络
L51,动画,动画/这个世界啊，很美丽的，很广大的，很辽阔的！,0,网络
L52,动画,动画/此生无悔入东方，来世愿生幻想乡！,0,网络
L53,动画,动画/真正让我难受的，大概是因为让你看到如此狼狈的自己。,0,网络
L54,动画,动画/人间不温柔,0,网络
L55,动画,动画/Time waits for no one.,0,网络
L56,动画,动画/如果当时我们说了再见，后来是不是就可以再见,0,网络
L57,动画,动画/如果你执意追寻着我的幻影，总有一天会被真正的我打败。,0,网络
L58,动画,动画/哭过喊过便会停止哭泣,0,网络
L59,动画,动画/因为无法再见面，所以要笑着说再见。,0,网络
L60,动画,动画/龙儿是我的！谁都不准碰！,0,网络
L61,动画,动画/我跟喜欢成人游戏一样喜欢你,0,网络
L62,动画,动画/我爱你，与你何干？,0,网络
L63,动画,动画/夜晚还远远没有结束!,0,网络
L64,动画,动画/我喜欢你们！超喜欢的！大家和我交往吧！绝对会让你们幸福的！,0,网络
L65,动画,动画/用你的笑容去改变这个世界，别让这个世界改变了你的笑容。,0,网络
L66,动画,动画/其实...根本就没有什么天堂和地狱吧....,0,网络
L67,动画,动画/别人恋爱不成功，你连暗恋都不成功！,0,网络
L68,动画,动画/爱迪生说过：“要把BOSS打倒就要准备足够的等级。”,0,网络
L69,动画,动画/回家后我得好好找你人生咨询一下！,0,网络
L70,动画,动画/有些事情我不看透，不是我太笨，只是我太善良。,0,网络
L71,动画,动画/我是奥尔加·伊滋卡，几颗子弹不要紧的！,0,网络
L72,动画,动画/你们腌太监也不会动人脑子啊！,0,网络
L73,动画,动画/话说回来，现充还真是麻烦啊。,0,网络
L74,动画,动画/就是因为你不好，才要留在你身边，给你幸福。,0,网络
L75,动画,动画/与其因为不信任而后悔，不如因为相信而后悔。,0,网络
L76,动画,动画/空太是笨蛋！,0,网络
L77,动画,动画/喜欢的人喜欢别人不是很正常吗。,0,网络
L78,动画,动画/想象力是武器，没有想象力的人会先死。,0,网络
L79,动画,动画/那么，开始实验吧！,0,网络
L80,动画,动画/我要拼，装上假牙也要拼！,0,网络
L81,动画,动画/无论乌云有多浓厚，星星也一定还在，只是暂时看不到了而已。,0,网络
L82,动画,动画/花无凋零之时，爱无传达之期，爱情亘古不变，紫罗兰永世长存。,0,网络
L83,动画,动画/你就赌我会死吧，因为你逢赌必输。,0,网络
L84,动画,动画/经为流逝的日月。纬为人们的生业。,0,网络
L85,动画,动画/被一个自己不感兴趣的人示好，你不觉得没有比这更恶心的事吗,0,网络
L86,动画,动画/当一个胖纸没有什么不好，最起码可以温暖其他的人。,0,网络
L87,动画,动画/有些梦想虽然遥不可及，但不是不可能实现。只要我足够的强。,0,网络
L88,动画,动画/当你想做一件事，却无能为力的时候，是最痛苦的。,0,网络
L89,动画,动画/千山万水，因你不过毫厘,0,网络
L90,动画,动画/悲痛的事，温柔以对；难过的事，坚强以对。,0,网络
L91,动画,动画/Ko no Dio da!,0,网络
L92,动画,动画/你是笨蛋吗？,0,网络
L93,动画,动画/我没有任何理由为了那些人让自己的人生付之一炬！,0,网络
L94,动画,动画/好了 接下来就让你们见识一下程序员的本事,0,网络
L95,动画,动画/美好的人眼里映出的世界也是美好的。,0,网络
L96,动画,动画/那是，未满45秒的邂逅。,0,网络
L97,动画,动画/孩子，我愿意为你而前行。,0,网络
L98,动画,动画/爱迪生说过：“要把BOSS打倒就要准备足够的等级。”,0,网络
L99,动画,动画/那里还有——医生的房间啊！,0,网络
L100,动画,动画/问灵十三载，等一不归人。,0,网络
L101,动画,动画/只要有你想要保护的东西，那就拔剑好了。,0,网络
L102,动画,动画/人的好意是沉重的。,0,网络
L103,动画,动画/十代目的意志就是我们的意志！,0,网络
L104,动画,动画/大家都是伪善者，世间充斥着不真实。,0,网络
L105,动画,动画/你会哭着笑，笑着哭，是因为你的心，早已超越了自己啊。,0,网络
L106,动画,动画/リア充死ね！,0,网络
L107,动画,动画/隐约雷鸣阴霾天空即使风无雨我亦留此地,0,网络
L108,动画,动画/我的腿让我停下，可是心却不允许我那么做。,0,网络
L109,动画,动画/求你，保护那孩子，消除灾厄，抹除祸事。哪怕…那是我自己…,0,网络
L110,动画,动画/与其因为不信任而后悔，不如因为相信而后悔。,0,网络
L111,动画,动画/时间是伟大的作家，总会写下完美的结局。,0,网络
L112,动画,动画/隐约雷鸣，阴霾天空，但盼风雨来，能留你在此。,0,网络
L113,动画,"动画/人难免伤害别人,也难免受伤,不过,人是不会轻易讨厌别人的.",0,网络
L114,动画,动画/你受伤的时候，我永远都在。,0,网络
L115,动画,动画/好了 接下来就让你们见识一下程序员的本事,0,网络
L116,动画,动画/卧龙低伏，入我阵来。,0,网络
L117,动画,动画/我怕失去了你，我的世界就没有了光明,0,网络
L118,动画,动画/自己不经意的一句话，触动了别人的心。,0,网络
L119,动画,动画/理解何为孤单，努力想得到爱的你，内心的悲伤是否稍微宣泄了呢？,0,网络
L120,动画,动画/你愿意陪我走到地狱的底端吗？,0,网络
L121,动画,动画/人类的赞歌就是勇气的赞歌。,0,网络
L122,动画,"动画/笨蛋,蠢货",0,网络
L123,动画,动画/那些坚定决心的人们，会展现出好脸色。,0,网络
L124,动画,动画/未来始终掌握在自己手中，从中滑落的，我们称之为过去。,0,网络
L125,动画,动画/真正的危机不是机器人像人一样思考，而是人像机器一样思考。,0,网络
L126,动画,动画/笨蛋吉娃娃（バカチワワ）,0,网络
L127,动画,动画/我知道的，面码……自己已经死掉这点事，还是知道的……,0,网络
L128,动画,动画/相信奇迹的人本身就和奇迹一样了不起啊,0,网络
L129,动画,动画/光就是羁绊之力，它会再度被某人继承，散发出耀眼的光。,0,网络
L130,动画,动画/让我们开始我们的约会（战争）吧,0,网络
L131,动画,动画/我们所度过的每个平凡的日常，也许就是连续发生的奇迹,0,网络
L132,动画,动画/时间并不存在，存在的只有此刻。,0,网络
L133,动画,动画/我再也不要看见她哭的样子了，就算我从此从她心目中消失。,0,网络
L134,动画,动画/只要人活在这世上就一定是有意义的，怎么活是自己选的。,0,网络
