id,tag,value,copyCount,author
D1,土味情话,土味情话/我还是喜欢你，像小时候吃辣条，不看日期,0,网络
D2,土味情话,土味情话/我们来玩木头人不许动吧 好!我输了 心动了,0,网络
D3,土味情话,土味情话/“油虎老爱蛋笨”<br>“什么鬼”<br>“倒过来读啦小笨蛋”,0,网络
D4,土味情话,土味情话/近朱者赤，近你者甜,0,网络
D5,土味情话,土味情话/我生在南方，活在南方，栽在你手里，总算是去过不一样的地方,0,网络
D6,土味情话,土味情话/“刚刚地震了吗?”<br>“没有啊”<br>“那为什么看到你，我心头一震”,0,网络
D7,土味情话,土味情话/“你知道世界上最温暖的三个字吗?”<br>哪三个?<br>“是从你口中说出的我爱你”,0,网络
D8,土味情话,土味情话/你可以帮我个忙么? 什么忙? 帮忙快点爱上我!,0,网络
D9,土味情话,"土味情话/""你猜我爱喝酒还是爱打王者"" ""爱打王者吧?"" ""不，爱你""",0,网络
D10,土味情话,土味情话/“遇到你之前，我对未来有很多很多的要求，但遇到你之后。。。”<br>怎么了?<br>“遇到你之后，我只要求是你”,0,网络
D11,土味情话,土味情话/“冬天要小跑一下”<br>跑步吗?<br>“嗯，跑进你心里”,0,网络
D12,土味情话,土味情话/听闻先生治家有方，小女余生愿闻其详。,0,网络
D13,土味情话,土味情话/“遇到你，我都没吃过糖了”<br>“为什么”<br>“你太甜”,0,网络
D14,土味情话,土味情话/我生在南方，活在南方，栽在你手里，总算是去过不一样的地方,0,网络
D15,土味情话,土味情话/“晚上不敢轻易的想你”<br>为什么?<br>“因为我怕一不小心就通宵”,0,网络
D16,土味情话,土味情话/“我刚看了一个电影，电影名字和我喜欢的人名字一样”<br>“什么电影”<br>“你的名字”,0,网络
D17,土味情话,土味情话/“我的每支笔都好甜的”<br>嗯?<br>“因为每支笔都知道你的名字”,0,网络
D18,土味情话,土味情话/我觉得你好像一款游戏。什么游戏?我的世界。,0,网络
D19,土味情话,土味情话/“我们要不要去喝酒?”<br>“喝什么酒”<br>“我们的喜酒”,0,网络
D20,土味情话,土味情话/“想问你借个杯子”<br>借杯子干嘛<br>“因为我想借你的(一辈子)”,0,网络
D21,土味情话,土味情话/“照的这张自拍真丑”<br>嗯······<br>“还不及你本人十分之一好看”,0,网络
D22,土味情话,土味情话/这是我的手背，这是我的脚背，你是我的宝贝。,0,网络
D23,土味情话,土味情话/我怀疑你的本质是一本书，不然为什么让我越看越想睡。,0,网络
D24,土味情话,土味情话/“遇到你之后我只想变成一种人”<br>“一种人”,0,网络
D25,土味情话,土味情话/听闻先生治家有方，小女余生愿闻其详。,0,网络
D26,土味情话,土味情话/你可以帮我个忙么? 什么忙? 帮忙快点爱上我!,0,网络
D27,土味情话,土味情话/“你烧烤喜欢烤海鲜还是烤烤肉?”<br>先烤海鲜吧<br>“不是说先考虑我吗”,0,网络
D28,土味情话,土味情话/“我缺了一样生活必需品”<br>“缺了什么?”<br>“你呀”,0,网络
D29,土味情话,土味情话/“冬有板栗，夏有芒果，你知道四季有什么吗?”<br>有什么?<br>“有你啊”,0,网络
