id,tag,value,copyCount,author
Q1,彩虹屁,彩虹屁/我爱你就像拖拉机上山轰轰烈烈，我对你的爱就像泼妇骂街一样滔滔不绝。轻轻贴近你的耳朵擦浪嘿呦。,0,网络
Q2,彩虹屁,彩虹屁/猫咪在落叶里打滚儿，晚霞铺满天空，风把思念吹向你。我贪恋的人间，不过是你而已。,0,网络
Q3,彩虹屁,彩虹屁/我遇见你，我记得你，这座城市天生就适合谈恋爱，你天生就适合我的灵魂。,0,网络
Q4,彩虹屁,彩虹屁/如果世界真的不喜欢你，那世界就是我的敌人了,0,网络
Q5,彩虹屁,彩虹屁/别怕光阴漫长，我会在你身旁，哪怕白发苍苍,0,网络
Q6,彩虹屁,彩虹屁/喧闹中最安静的你，却轻易点燃慢热的心,0,网络
Q7,彩虹屁,彩虹屁/晓看天色暮看云，行也思君，坐也思君；春赏百花冬赏雪，醒也思卿，梦也思卿。,0,网络
Q8,彩虹屁,彩虹屁/东南西北 E S W N 一生为你,0,网络
Q9,彩虹屁,彩虹屁/我无法客观评价他，因为我主观喜欢他,0,网络
Q10,彩虹屁,彩虹屁/(人 •͈ᴗ•͈)۶♡♡大陆的颜值标杆,0,网络
Q11,彩虹屁,彩虹屁/祝我的小公主快乐长大 开心做自己❤️,0,网络
Q12,彩虹屁,彩虹屁/见不到想，见到便笑。见不到思之如狂，见到便心花怒放。,0,网络
Q13,彩虹屁,彩虹屁/谁说永恒要用指环证明，你的爱人要用时间珍惜，如果陪我到最后的人是你，一路风雨也没关系。,0,网络
Q14,彩虹屁,"彩虹屁/我有多爱你呢
对上眼的瞬间
我竟想到了与你携手共白头",0,网络
Q15,彩虹屁,彩虹屁/我觉得吧，那些形容普通女子的形容词根本配不上你，她们最多万花丛中一点红。而你是天空中最闪亮的星，blingbling的！贼亮，亮瞎他们眼珠子！,0,网络
Q16,彩虹屁,彩虹屁/你真可爱，每个晚安过后，都忍不住想你，有时想你想得睡不着，有时想你才能睡得着。,0,网络
Q17,彩虹屁,彩虹屁/想把这世间的甜蜜美好都给你，苦痛磨难我来吞。,0,网络
Q18,彩虹屁,彩虹屁/我为的是我的心。,0,网络
Q19,彩虹屁,彩虹屁/你真是世界上最可爱的生物了 心软嘴硬除了宠着还能怎么办呢,0,网络
Q20,彩虹屁,彩虹屁/你有时候是不是特孤独?世界上这么优秀的人就只有你一个!,0,网络
Q21,彩虹屁,彩虹屁/有如摇摆的磁针是对准北极，我的心也只是朝向你,0,网络
Q22,彩虹屁,"彩虹屁/要不要去札幌。
那个意思等于，我喜欢你。",0,网络
Q23,彩虹屁,"彩虹屁/天空是蓝色的，
太阳是黄色的
大地是棕色的
海洋是蓝色的
草是绿色的
鲜花是五颜六色的
心跳是红色的❤️
而你是属于我世界的颜色",0,网络
Q24,彩虹屁,"彩虹屁/要不要去札幌。
那个意思等于，我喜欢你。",0,网络
Q25,彩虹屁,彩虹屁/一不小心被绊倒了，摔进你的心坎，踏入你的余生！,0,网络
Q26,彩虹屁,"彩虹屁/就像是那令鼻尖发痒的春天到来
在我繁花盛开的心间 你化作蝴蝶飞来
——WINNER《MILLIONS》",0,网络
Q27,彩虹屁,彩虹屁/如果我是个电脑，是个网盘，是个机器人，就好了，我好想同时把每个你印到心里。,0,网络
Q28,彩虹屁,彩虹屁/做你最爱 甜蜜且乖,0,网络
Q29,彩虹屁,彩虹屁/不好意思了，一不小心把所有的喜欢都砸到你身上了,0,网络
Q30,彩虹屁,彩虹屁/你简直是大陆颜值的标杆，即使是后脑勺也是惊人的美貌！连风和阳光都会嫉妒吧，好像从清纯漫画走出来的女主角，这样的美貌简直就是人类洗眼液！,0,网络
Q31,彩虹屁,彩虹屁/你是我这一生只会遇见一次的惊喜,0,网络
Q32,彩虹屁,彩虹屁/月亮藏进云里，如果你已经睡了，那我要偷偷吻吻你。你比一百只猫猫加起来可爱，我呢，比一百只猫猫加起来好睡，你要不要来试试？,0,网络
Q33,彩虹屁,彩虹屁/人间太吵了 你来我心里吧。,0,网络
Q34,彩虹屁,彩虹屁/说星星好看的人一定是没有见过你的眼睛,0,网络
Q35,彩虹屁,彩虹屁/把细碎的烦恼暂停关掉，把月亮挂好，睡个好觉。晚安,0,网络
Q36,彩虹屁,彩虹屁/你眉眼含笑，艳了半城风华，却在我的心尖驻足。,0,网络
Q37,彩虹屁,彩虹屁/夏日的光，在柔软的云朵下翻飞，折出朦胧的光，像极了寻找初心的人，而你，就是我的初心。,0,网络
Q38,彩虹屁,彩虹屁/错过了青梅竹马 避开了情窦初开 如今我只想和你两鬓斑白,0,网络
Q39,彩虹屁,彩虹屁/还没到迪士尼就见到公主了,0,网络
Q40,彩虹屁,彩虹屁/今晚月色真美，眸中所及很明朗，而你朝我走来的路途温柔了万般光景,0,网络
Q41,彩虹屁,彩虹屁/地球上只有一个月亮，它没有生命，被小行星撞的伤痕累累，却象征着浪漫。,0,网络
Q42,彩虹屁,"彩虹屁/这世界嘈杂，不堪入目
我舍弃了我的世界
然后奔向你",0,网络
