id,tag,value,copyCount,author
I1,成人笑话,"成人笑话/他把那玩意儿掏出来了<br><br>一男的赶集买了一只鸭子，<br>路过电影院买了电影票准备看场电影，<br>可看门的说不能带鸭子进电影院，<br>他穿了一条肥裤子，就把鸭子藏到裤裆内进了电影院。<br>电影开始后，鸭子在裤裆内闷的直动，<br>他就把拉链打开，让鸭头露在外面，鸭子就不动了。<br>旁边坐着一对情侣，一边吃零食一边看电影，<br>女孩突然对男孩悄悄说：<br>我旁边坐个变态，他把那玩意儿掏出来了。<br>男孩说：别瞅他，就装没看见。过了一会儿，<br>女孩对男孩说：<br>我不能装看不见，他那玩意儿在吃我的爆米花。
",0,网络
I2,成人笑话,"成人笑话/双手放在胸前搓一搓<br><br>1、<br>闺蜜第一次去健身房练瑜伽，<br>快结束的时候教练叫所有人闭上眼睛，<br>双手放在胸前搓一搓。<br>她一边想这动作真奇怪，<br>一边开始搓自己的胸。<br>后来，当她睁开眼睛的时候发现别人都是双手掌心互搓，<br>唯独她不同！尼玛啊<br><br>2、<br>上次做高铁，眼看四下无人，<br>便偷偷看起了毛片，过了一会，<br>手机显示电量不足20%，<br>然后从后面伸出一只手，<br>递了一个充电宝
",0,网络
I3,成人笑话,"成人笑话/把我感动的一直在擦额头上的汗<br><br>一个陌生男人敲开了我家的大门，<br>老公问道：""你找谁...""<br>男人在屋里看了一圈慢声细语的说道：<br>""对不起，我五年前出了车祸，跌入山崖失忆了，忘记了回家的路，<br>我只能每天不停的敲门，直到找到自己的家为止...""<br><br>老公听完男人的话，深感同情，感动流泪，<br>给了他二百块钱，并祝福他早日找到家。<br><br>就这样，男人走后，老公回到屋里，<br>跟我讲了这个故事，<br>把我感动的一直在擦额头上的汗..........<br>
",0,网络
I7,成人笑话,"成人笑话/女孩说lenovo是什么意思？<br><br>1、<br>昨天送女同事回家，她邀请我上去坐坐，我去了，<br>必竟是女孩闺房，气氛很浪漫，<br>我们一边喝茶一边不痛不痒地聊着，<br>她轻启红唇，突然说：""lenovo""<br>我：""啊?""<br>她又说：""lenovo""<br>我：""什么？""<br>她脸色一变：""我说你可以回家了。""<br>我回家后才明白，后悔死了。。。<br><br>2、<br><br>哥们儿跟他女朋友谈了两年也没发生关系。<br>每当别人问他，他只是弱弱的说：怕以后跟她结婚的不是我，他老公嫌弃她。<br>我们总为他的真情感动着。<br>那天好不容易喝醉了，终于大声咆哮道：<br>我容易么我，喜欢上这么一个女汉子，<br>两年了，你们能理解劳资无数次想强上，<br>都被她摁在地上的屈辱么<br>
",0,网络
I8,成人笑话,"成人笑话/小祖宗啊，慢点，您慢点..<br><br>1、<br>男友总嫌我做事墨迹。<br>晚上我正在洗澡，男友一脚踢开门说：<br>""臭婆娘，我都等了半小时了，你还没洗好吗？""<br>我白了他一眼然后他就自觉的出去了。<br>我洗完澡后，他猴急的从背后抱住我，<br>说：""你怎么这么慢啊，以后麻利点！""<br>我气的一把按倒他坐了上去，<br>没一分钟他的求饶声传来：<br>""哎哟，我的小祖宗啊，慢点，您慢点...""<br><br>2、<br>那天洗澡把所有内裤都洗了，<br>结果第二天起床直接穿运动裤上课去了，<br>悲剧的是我忘记前几天打球时裤裆破了，<br>老师在台上讲的天花乱坠，<br>我在台下想如非非，然后GC来了<br>女同桌看到我那探出头的弟弟，<br>惊恐的喊到：""啊蛇！""<br>然后全班都看过来了
",0,网络
I9,成人笑话,"成人笑话/美女发个“肥”是什么意思<br><br>1、<br>老婆：""老公，现在开放二胎了，我们再要一个好不好？""<br>老公：""不要了，我们孩子都快上大学了了，哪还有精力要二胎？""<br>老婆：""你看你这个人，真没劲，你难道就不想要个亲生的？""<br><br>2、<br>大三那年，眼看着暗恋三年的学姐就要毕业了，<br>一次社团聚会，喝了很多酒，借着酒胆跑到宿舍楼下向她表白。<br>学姐吓了一跳，没有出来见我。失落的我回到宿舍，<br>收到了学姐的微信:""肥""。<br>我以为她嫌我身材，看到这个我发疯了。<br>如今我才真正领略到汉字的博大精深<br>.<br>.<br>.<br>.<br>月巴=约吧<br>
",0,网络
I10,成人笑话,"成人笑话/小文、小六、阿太、阿木、阿大<br><br>1、<br>从前有个女孩儿叫小文，<br>后来她有了男朋友，<br>她就改名叫小六了。<br><br>她的男朋友叫阿太，<br>和小文好上以后他就改名叫阿木。<br><br>后来他们分手了，<br>阿木去了泰国，于是他改名叫阿大。<br><br>2、<br>中午学校排队打饭。<br>一个男同学跑到一个女同学的面前说<br>我能插到你的前面吗？<br>女孩说不能因为我的前面有人插了，<br>你只能插我的后面了。
",0,网络
I11,成人笑话,"成人笑话/帮她破解几种难度大的姿势<br><br>1、<br>小李在电脑上正破解一款游戏，儿子过来了<br>儿子问：""爸爸，你在干什么？""<br>小李：""爸爸在破解软件，能省钱""<br>儿子：""那你应该找王叔叔，那天他对妈妈说，要帮她破解几种难度大的姿势""<br>小李：""尼玛""<br><br>2、<br>老婆喜欢拆字<br>昨天早上，我跟老婆开玩笑说：""老婆，来生做牛做马，我给你喂草""<br>老婆：""草，可以拆成""早""和""艹""，现在你是暗示我啪啪吗？""<br>我：""不是，不是""<br>老婆：""说话不算数是小狗""<br>我：""旺旺....""<br>老婆：""旺，可以拆成""日""和""王""，你特码是不是想告诉我，你和我闺蜜王美美睡过？""老婆边说边啪啪给我了两嘴巴子<br>我：""冤枉....""<br>
",0,网络
I12,成人笑话,"成人笑话/八万是什么意思？<br><br>1、<br>今天约了个萌妹子，开房后她说喝点酒助助兴，<br>然后我就什么都不知道了,<br>早上醒了看到床上一点红,<br>心想她还是第一次，准备走的时候感觉一阵疼，<br>看着床上的她我陷入了沉思....<br><br>2、<br>今天和一个从小玩到大的女性朋友一起打牌，<br>闲聊中问她和现在的男朋友怎么样了<br>，她叹了一口气说：分了。<br>我问她你们不是挺好的么？<br>怎么分了呢？她什么也没说，<br>打出了一张八万，<br>我一看哦，知道了！<br>.<br>.<br>.<br>.<br>.<br>7上9下（骑上就下）
",0,网络
I13,成人笑话,"成人笑话/下次超过11点就别动我<br><br>1、<br>哥们告诉我的，他天天玩游戏半夜才上床，<br>上床后想嘿咻把老婆弄醒，<br>老婆发火：""下次超过11点就别动我！""<br>于是次日晚他10:59上床，<br>嘿喲嘿喲动了几下就不动了，<br>老婆说：""怎么了？""<br>他说：""11点了，不能动了。""<br>老婆一脚把他踹下床！<br><br>2、<br>女票是网管，昨天去她工作的网吧接她下班，<br>去早了，于是就打开一台电脑玩起了LOL。<br>第一局队友给力我很幸运的就五杀了，<br>我激动的大喊:网管!网管!!我五杀了!<br>老婆走过来看了看是真的，<br>于是弯腰亲了一下我的脸，<br>当时网吧的人都惊呆了!<br>没过半个小时，<br>就听后排一哥们激动的喊了一句:<br>网管!我也五杀了
",0,网络
