id,tag,value,copyCount,author
O1,文学,文学/万书皆下品，唯有萌最高！,0,网络
O2,文学,文学/我不是畏惧风，我只是怕风把沙子吹到我的眼睛里！,0,网络
O3,文学,文学/充满着无尽的能量与自信，向着未来出发,0,网络
O4,文学,文学/你说最开心的是你，我说最难过的是你……,0,网络
O5,文学,文学/愿字起于心头 转瞬又死于心间,0,网络
O6,文学,文学/嘴上说着考名校，手里打着游戏，你是在和谁开玩笑。,0,网络
O7,文学,文学/我们都在努力的活着,0,网络
O8,文学,文学/我真的很想喜欢你们，可是你们没有人喜欢我。,0,网络
O9,文学,文学/充满着无尽的能量与自信，向着未来出发,0,网络
O10,文学,文学/始终弄不明白，合适和喜欢哪个更重要。,0,网络
O11,文学,文学/何必怕鬼，折磨你的永远是人。何必怕死，折磨你的永远是生。,0,网络
O12,文学,文学/只想着相见时春风细雨甜，哪管他相思夜星前月下苦。,0,网络
O13,文学,文学/每一个人都应该明确自己的方向和位置。,0,网络
O14,文学,文学/你很好，我也很喜欢，但我不是追着别人跑的年纪了。,0,网络
O15,文学,文学/愿用余生换半城烟雨，半城繁花。,0,网络
O16,文学,文学/异地恋是，尝过欣喜若狂，也知道失魂落魄。,0,网络
O17,文学,文学/如果现在不开始想，那以后哪有时间做,0,网络
O18,文学,文学/不过一介凡人，何必与世纷争。,0,网络
O19,文学,文学/贫积德，富积善。,0,网络
O20,文学,文学/你要乖，要长大，要不负众望。,0,网络
O21,文学,文学/天下没有免费的午餐，努力创造奇迹吧少年！,0,网络
O22,文学,文学/坚定信念走下去。,0,网络
O23,文学,文学/只要我喝的够多，寂寞就侵蚀不了我,0,网络
O24,文学,文学/固执守旧说的就是我了吧,0,网络
O25,文学,文学/天予不取，必遭天谴。,0,网络
O26,文学,文学/忘却并不是可怕的，而是你不肯。,0,网络
O27,文学,文学/梦里与现实的距离，仅仅是双眸的一合一闭。,0,网络
O28,文学,文学/青春就像卫生纸。看着挺多的，用着用着就不够了。,0,网络
O29,文学,文学/就要死皮赖脸的喜欢你,0,网络
O30,文学,文学/静以制动，明以破军。,0,网络
O31,文学,文学/|｡･㉨･)っ♡　喜欢你♪,0,网络
O32,文学,文学/机会永远都有 就看你能不能抓得住,0,网络
O33,文学,文学/不要想，去感受。,0,网络
O34,文学,文学/天不生我墨泽埃，赌道万古如长夜。钱来！,0,网络
O35,文学,文学/别人走在拼命赚钱，而我赚不到，我感觉我和这个世界格格不入,0,网络
O36,文学,文学/如果只是路过，那我就在终点等你。,0,网络
O37,文学,文学/上一阵风、它吹过的时候，带走了我的心我的寂寞。,0,网络
O38,文学,文学/负断只舟阡陌短，雨淋青瓦深巷中。,0,网络
O39,文学,文学/避弊盗利非小人不可为，须纳其弊方承其禾。,0,网络
O40,文学,文学/黎明前的黑暗，是最深不见底的黑暗。,0,网络
O41,文学,文学/无论如何轮回做出选择，终将还是会后悔。,0,网络
O42,文学,文学/重要的事情，你怎么不做呢？,0,网络
O43,文学,文学/每个凉宫都会遇到属于她的John Smith。,0,网络
O44,文学,文学/落日拉开黑夜的帷幕，繁星点燃黎明的火光。,0,网络
O45,文学,文学/得之我幸，失之我命。,0,网络
O46,文学,文学/浩如星海的人群中，与你相遇真是一件幸运的事情,0,网络
O47,文学,文学/眼泪不能洗去痛苦，但岁月足以抹去一切。,0,网络
O48,文学,文学/世事变迁，沧海桑田，它在万维网的角落，等着哥伦布和他的船员。,0,网络
O49,文学,文学/也罢就这样吧，淡看缘起缘落，有缘聚，无缘不见,0,网络
O50,文学,文学/加油！和你们在一起！,0,网络
O51,文学,文学/前进路上的阴影，来自身后的光明。,0,网络
O52,文学,文学/天予不取，必遭天谴。,0,网络
O53,文学,文学/其实你不是真的很有趣，你只是太孤独。这个你，就是我。,0,网络
O54,文学,文学/路过的熟悉，如同有你，已无转身的距离。,0,网络
O55,文学,文学/真正无穷的自由，会包容你所有的思念,0,网络
O56,文学,文学/我不是畏惧风，我只是怕风把沙子吹到我的眼睛里！,0,网络
O57,文学,文学/即使这一切如此虚假，那又如何？,0,网络
O58,文学,文学/繁花落尽，明月映着谁老去……,0,网络
O59,文学,文学/永远别放弃一个你每天都在想念的人,0,网络
O60,文学,文学/我已经过了会脸红的年纪。,0,网络
O61,文学,文学/我真想拉起你的手，逃向初晴的天空和田野，不畏縮也不回顧。,0,网络
O62,文学,文学/我们所做的事情，不过是重复前人所做的事情罢了,0,网络
