id,tag,value,copyCount,author
B1,朋友圈文案,朋友圈文案/希望沿途经过的风景都与你有关 *˘︶˘*,0,网络
B2,朋友圈文案,朋友圈文案// 𝓝𝓸 𝓸𝓽𝓱𝓮𝓻 𝓵𝓸𝓿𝓮 𝓫𝓾𝓽 𝔂𝓸𝓾 / ησ σтнєя ℓσνє вυт уσυ,0,网络
B3,朋友圈文案,朋友圈文案/我想变成你，见你所见，爱你所爱。——《惊情四百年》,0,网络
B4,朋友圈文案,朋友圈文案/来世上一遭，要做就要做最热爱的事,0,网络
B5,朋友圈文案,朋友圈文案/祝大家2020年脱贫脱单不！脱！发！,0,网络
B6,朋友圈文案,朋友圈文案/我曾试过把对你的喜欢堆积在心里 却不成想在不知不觉中早已塞满了我的心 就像一个随时会爆炸的烟花 只需要一些个火星 它遍会在我的脑海里绽放出绚丽多彩的花火 告诉你 “我喜欢你”,0,网络
B7,朋友圈文案,朋友圈文案/你问我晚霞是什么颜色，我有些犯迷糊，一时答不上来，只是觉得它是你看我时，脸颊的颜色,0,网络
B8,朋友圈文案,朋友圈文案/喜欢你像喜欢春天里的熊 “春天的原野里，你一个人正走着，对面走来一只可爱的小熊，浑身的毛活像天鹅绒，眼睛圆鼓鼓的。它这么对你说到：‘你好，小姐，和我一块打滚玩好么？’接着，你就和小熊抱在一起，顺着长满三叶草的山坡咕噜咕噜滚下去，整整玩了一大天。你说棒不棒？”,0,网络
B9,朋友圈文案,朋友圈文案/我有一个超能力，超级喜欢你,0,网络
B10,朋友圈文案,朋友圈文案/ “我好想采一朵那粉红的云彩，把你放在上面推来推去。”,0,网络
B11,朋友圈文案,朋友圈文案/活在这珍贵的人间，太阳强烈，水波温柔,0,网络
B12,朋友圈文案,"朋友圈文案/一生努力,一生被爱。",0,网络
B13,朋友圈文案,朋友圈文案/新的一年 我的崽崽们也要快乐！！,0,网络
B14,朋友圈文案,朋友圈文案/我比流言蜚语更早认识他,0,网络
B15,朋友圈文案,朋友圈文案/上了生活的贼船，就要做一个快乐的海盗,0,网络
B16,朋友圈文案,朋友圈文案/‘’好好思考一下的话，人生也是美好的，去做想做的事情吧，不要太过烦恼”——吴世勋,0,网络
B17,朋友圈文案,朋友圈文案/ℳᴇʀʀᎽ ྀིℂʜʀɪsᴛᴍᴀs,0,网络
B18,朋友圈文案,"朋友圈文案/ɪ ʜᴀᴅ ғʟɪᴘᴘᴇᴅ , ᴄᴏᴍᴘʟᴇᴛᴇʟʏ. ",0,网络
B19,朋友圈文案,朋友圈文案/宇宙山河浪漫，人间点滴温暖都值得我前进。  ,0,网络
B20,朋友圈文案,朋友圈文案/静下来想你，觉得一切都美好地不可思议。,0,网络
B21,朋友圈文案,"朋友圈文案/你已经常驻在我的梦中了
我该怎么办
我该怎么告诉你
希望你可以理解我现在的懦弱
很快了
当年我们的话我一直都记得
只希望你再等我一会 
再等我一会就好
等我回去找你的那一刻
我娶你",0,网络
B22,朋友圈文案,朋友圈文案/世上没有白走的路，每一步都算数。,0,网络
B23,朋友圈文案,朋友圈文案/⑨月限定 𓂃 𓈒𓏸 🕊,0,网络
B24,朋友圈文案,朋友圈文案/𝚂𝚞𝚖𝚖𝚎𝚛 𝙳𝚛𝚎𝚊𝚖,0,网络
B25,朋友圈文案,"朋友圈文案/拨云见日,云上看景。",0,网络
B26,朋友圈文案,朋友圈文案/马上七夕了，你爸肯定又要催你带对象了，没有对象的朋友可以考虑下我，我可以当你爸，我不催你,0,网络
B27,朋友圈文案,"朋友圈文案/单删了好多人
看到了很多戛然而止的聊天界面
很多关系也止于相识一场 怦然心动也变成泛泛之交
时间不停地刷新留在我身边的人
原来这就是马不停蹄的青春
 “不断的相遇错过和离别”",0,网络
B28,朋友圈文案,"朋友圈文案/“就像最初一样，一直不变的留在我身边吧！”       ——吴世勋
 ",0,网络
B29,朋友圈文案,朋友圈文案/原来世间美好大多是免费的，比如阳光，比如喜欢。,0,网络
B30,朋友圈文案,朋友圈文案/当原则遇到心动就破例,0,网络
B31,朋友圈文案,朋友圈文案/任凭我多么想抓住过去，留不住的还是留不住,0,网络
B32,朋友圈文案,朋友圈文案/♡ ѕυgαя αи∂ ѕρι¢є αи∂ єνєяутнιиg иι¢є,0,网络
B33,朋友圈文案,朋友圈文案/凛冬散尽，星河长明，新的一年，万事顺遂。,0,网络
B34,朋友圈文案,朋友圈文案/“但你还是你，有我一喊就心颤的名字”,0,网络
B35,朋友圈文案,朋友圈文案/中秋是一个月亮的孤独，一群月饼的狂欢,0,网络
B36,朋友圈文案,朋友圈文案/而后我长成参天模样又找到一些喜欢的了。,0,网络
B37,朋友圈文案,朋友圈文案/今夜，亦未眠。当然是在思念，像星光一般的你。,0,网络
B38,朋友圈文案,朋友圈文案/ᑋᵉᑊᑊᵒ ᵕ̈ ᑋᵉᑊᑊᵒ ◡̈,0,网络
B39,朋友圈文案,朋友圈文案/我真诚地喜欢你，想带你去看每年故宫的初雪，阿拉斯加的海岸线，想与你两人独占一江秋，愿意与你郡亭枕上看潮头，铺着红地毯的礼堂，暮霭沉沉的原野，都愿与你共享。,0,网络
B40,朋友圈文案,"朋友圈文案/天气越来越热了，唯有三步解暑良方。
第一步:想想自己的体重，心凉半截
第二步:想想自己的前途，又凉半截
第三步:想想卡里的存款，瞬间从头凉到脚跟，拔凉拔凉的……",0,网络
B41,朋友圈文案,朋友圈文案/女巫用了解药，又是一个平安夜。,0,网络
B42,朋友圈文案,朋友圈文案/靠自己生活，灵魂都是安宁的🍃,0,网络
B43,朋友圈文案,朋友圈文案/人家都是跨年，我腿短短只能用翻的，翻年快乐,0,网络
B44,朋友圈文案,朋友圈文案/白茶清欢无别事，我在等风也等你。,0,网络
B45,朋友圈文案,朋友圈文案/———————ʕ·͡ˑ·ཻʔ︎ ———————,0,网络
B46,朋友圈文案,朋友圈文案/第一次见到你的时候 就像看到了彩虹云朵,0,网络
B47,朋友圈文案,朋友圈文案/我年轻 需要你指点，但不需要你指指点点！,0,网络
B48,朋友圈文案,"朋友圈文案/不知为何，明明想和你说话。
却骗你说，风雨正好，该去写点诗句。
不必嘲讽我，你笑出声来，
我也当是天籁。
不必怀有敌意，你所有心计，
我都当是你对我的心意。
——西贝 《路人》",0,网络
B49,朋友圈文案,朋友圈文案/千言万语，不过一句我好想你！,0,网络
B50,朋友圈文案,"朋友圈文案/风很大，
我很想你。
也不知道，
风能不能把我的思念带给你？",0,网络
