id,tag,value,copyCount,author
G1,毒鸡汤,毒鸡汤/有时候，真的很难受。为什么自己怎么丧？,0,网络
G2,毒鸡汤,毒鸡汤/你要是喜欢一个女生，就好好学习找个好工作努力挣好多好多钱，等她结婚的时候你多出点份子钱,0,网络
G3,毒鸡汤,毒鸡汤/有些人一旦错过了，真特么谢天谢地。,0,网络
G4,毒鸡汤,毒鸡汤/坏习惯往往令人很舒服。,0,网络
G5,毒鸡汤,毒鸡汤/付出就会有回报，比如一倍的奢望，换两倍的失望。,0,网络
G6,毒鸡汤,毒鸡汤/如果你不珍惜我，那么过了这个村，我在下一个村等你。,0,网络
G7,毒鸡汤,毒鸡汤/不要总对人掏心掏肺，有的人不吃内脏。,0,网络
G8,毒鸡汤,毒鸡汤/用扯淡的态度，面对操蛋的人生。,0,网络
G9,毒鸡汤,毒鸡汤/带翅膀的不一定是天使，有可能是雷震子。,0,网络
G10,毒鸡汤,毒鸡汤/为什么要过有意义的一生？不然你没法解释自己受过的苦。,0,网络
G11,毒鸡汤,毒鸡汤/我这人吧，永远不要挑战我的底线，否则我又得修改底线。,0,网络
G12,毒鸡汤,毒鸡汤/没有人瞧不起你，因为根本就没有人瞧你。,0,网络
G13,毒鸡汤,毒鸡汤/不想结婚生子，是我作为穷人的自觉。,0,网络
G14,毒鸡汤,毒鸡汤/穷不可怕，可怕的是，最穷的人是我。,0,网络
G15,毒鸡汤,毒鸡汤/你一定要笑，不然不会知道，自己有多少鱼尾纹。,0,网络
G16,毒鸡汤,毒鸡汤/活了这么多年，一直搞不明白一件事，拉钩为什么要上吊？,0,网络
G17,毒鸡汤,毒鸡汤/虽然你学的慢，但是你，放弃的快呀。,0,网络
G18,毒鸡汤,毒鸡汤/冰冻三尺非一日之寒，掏空钱包却一点不难。,0,网络
G19,毒鸡汤,毒鸡汤/宁可美的千篇一律 ，也不要丑的各有千秋。,0,网络
G20,毒鸡汤,毒鸡汤/好看的皮囊与你无关，有趣的灵魂你又没有。,0,网络
G21,毒鸡汤,毒鸡汤/二十年前吃小浣熊，集不齐卡的傻孩子们，依然集不齐五福。,0,网络
G22,毒鸡汤,毒鸡汤/你长得很有创意，活得很有勇气。,0,网络
G23,毒鸡汤,毒鸡汤/何以解忧，唯有暴富。,0,网络
G24,毒鸡汤,毒鸡汤/你如果不够优秀，遇上了都不会拥有,0,网络
G25,毒鸡汤,毒鸡汤/还想过五四青年节，六一儿童节？属于你的只剩下三八节了。,0,网络
G26,毒鸡汤,毒鸡汤/今天是除夕夜，来来来，给你夹块你最爱吃的天鹅肉。,0,网络
G27,毒鸡汤,毒鸡汤/不能老盯着手机屏幕，要不时地抬起头，看看老板的位置。,0,网络
G28,毒鸡汤,毒鸡汤/人生苦短，我又他妈懒,0,网络
G29,毒鸡汤,毒鸡汤/放下手机出去走走，最后你会发现，还是手机有意思。,0,网络
G30,毒鸡汤,毒鸡汤/你这两天早点回家，最近偷猪的多，我怕你出事。,0,网络
G31,毒鸡汤,毒鸡汤/你倒下了，能顶替你的人千千万,0,网络
G32,毒鸡汤,毒鸡汤/人生就像一个茶几，上面摆满了杯具。,0,网络
G33,毒鸡汤,毒鸡汤/小时候不爱吃饭，导致现在个矮。现在爱吃饭了导致又胖又矮。,0,网络
G34,毒鸡汤,毒鸡汤/上学时，我和一个朋友同时喜欢一个女生。有一天他给了我1000元，叫我放手。我顿时拍案而起对他说：“不是所有事情都能用钱解决的，但是这件事可以”。,0,网络
G35,毒鸡汤,毒鸡汤/我因为穷，所以国庆在家，躲过了一节。,0,网络
G36,毒鸡汤,毒鸡汤/有人一笑就很好看，你是一看就挺好笑。,0,网络
G37,毒鸡汤,毒鸡汤/当幸福来敲门的时候，我怕我不在家，所以一直都很宅。,0,网络
G38,毒鸡汤,毒鸡汤/如果你有什么事，一定要告诉我，反正我也解决不了。,0,网络
G39,毒鸡汤,毒鸡汤/还没来得及去沾花惹草，就被人拔光了。,0,网络
G40,毒鸡汤,毒鸡汤/我每天拼了命努力就是为了，向那些看不起我的人证明，他们是对的。,0,网络
G41,毒鸡汤,毒鸡汤/上帝向人间洒满智慧，唯独你打了把伞。,0,网络
G42,毒鸡汤,毒鸡汤/愚人节，只是给说谎的人，一个说真话的机会。,0,网络
G43,毒鸡汤,毒鸡汤/知道你为什么烦恼吗，因为你书看的少却想的多；因为你丑却自恋；因为你没实力却想上天；因为你困却还不肯睡。总之，自己作的，厉害的人才不会胡思乱想。,0,网络
G44,毒鸡汤,毒鸡汤/西游记告诉我们，有个猪一样的队友，能让团队上西天。,0,网络
G45,毒鸡汤,毒鸡汤/希望有些事情可以自己解决，不是我自己，是事情自己。,0,网络
G46,毒鸡汤,毒鸡汤/知道为什么天妒英才吗？ 因为没人去管笨蛋活了多久。,0,网络
G47,毒鸡汤,毒鸡汤/学过很多技能，到头来才发现，最有用的技能是——想开点！,0,网络
G48,毒鸡汤,毒鸡汤/不要把银行卡密码，设成女朋友的生日，不然总要换多麻烦。,0,网络
G49,毒鸡汤,毒鸡汤/隔着屏幕哭，隔着屏幕笑，分手的时候也没能抱一抱，说爱你是真的，会等你也是真的，只要你回头，我一直在你身后.,0,网络
G50,毒鸡汤,毒鸡汤/宁愿不说话看起来像个傻子，也不要，开口证明自己的确如此。,0,网络
G51,毒鸡汤,毒鸡汤/指甲不小心劈开了,0,网络
G52,毒鸡汤,毒鸡汤/昨天晚上做了一个梦，梦见一位老者对我说，小伙子，你如果不回去种地的话，是没有前途的。,0,网络
G53,毒鸡汤,毒鸡汤/马不停的是蹄，你不停的是嘴。,0,网络
G54,毒鸡汤,毒鸡汤/都说钱是王八蛋，可长得真好看。,0,网络
G55,毒鸡汤,毒鸡汤/这辈子最灿烂的笑容，大概都奉献给，我的手机屏幕了。,0,网络
G56,毒鸡汤,毒鸡汤/只要功夫深铁杵磨成针，但真把铁杵磨成针的，绝对是大傻瓜。,0,网络
G57,毒鸡汤,毒鸡汤/谢谢你，在我每次需要你的时候都掉链子,0,网络
G58,毒鸡汤,毒鸡汤/你的晚安，只是想让我闭嘴。,0,网络
G59,毒鸡汤,毒鸡汤/咸鱼翻身有什么用，翻了身，还是咸鱼。,0,网络
G60,毒鸡汤,毒鸡汤/人生如梦我失眠，人生如戏我穿帮，人生如歌我跑调。,0,网络
G61,毒鸡汤,毒鸡汤/经过大家的耐心劝导，我终于接受了，自己是傻逼这个事实。,0,网络
G62,毒鸡汤,"毒鸡汤/既然作业是写不完的
又何必要写呢",0,网络
G63,毒鸡汤,毒鸡汤/哪有什么优柔寡断，还不是因为怂。,0,网络
G64,毒鸡汤,毒鸡汤/其实人生，在某个节点后就结束了，大家只是在等彩蛋。,0,网络
G65,毒鸡汤,毒鸡汤/大家都以为我没有朋友，事实上，我还真没有朋友。,0,网络
G66,毒鸡汤,毒鸡汤/懒又有目标，才是真的惨。,0,网络
G67,毒鸡汤,毒鸡汤/他们说网络很假，我笑了，好像现实很真一样。,0,网络
G68,毒鸡汤,毒鸡汤/很多次我都觉得坚持不住了，然后我就放弃了。,0,网络
G69,毒鸡汤,毒鸡汤/别问我失败了怎么办，说得好像你成功过一样。,0,网络
G70,毒鸡汤,毒鸡汤/赚钱就像便秘 — 老难了，花钱就像拉稀 — 憋不住。,0,网络
G71,毒鸡汤,毒鸡汤/不要轻易向命运低头，因为，一低头就会看到赘肉。,0,网络
G72,毒鸡汤,毒鸡汤/你获得了很多金钱，但同时也失去了很多东西，比如烦恼。,0,网络
G73,毒鸡汤,毒鸡汤/三观没用，你得靠五官！,0,网络
G74,毒鸡汤,毒鸡汤/仗义每从屠狗辈，负心多是读书人。,0,网络
G75,毒鸡汤,毒鸡汤/闹钟的作用对我来说，就是让我，换个姿势睡觉。,0,网络
G76,毒鸡汤,毒鸡汤/你爱不爱你的工作，工作都会在那等你，不离不弃。,0,网络
G77,毒鸡汤,毒鸡汤/挣钱是一种能力，花钱是一种技术，我能力有限技术却很高。,0,网络
G78,毒鸡汤,毒鸡汤/你喜欢我哪一点啊？我喜欢你离我远一点。,0,网络
G79,毒鸡汤,毒鸡汤/请珍惜那些伤害过你的人，毕竟其他人都懒得害你。,0,网络
G80,毒鸡汤,毒鸡汤/不是吃燕窝的人皮肤好，是吃得起燕窝的人皮肤好。,0,网络
G81,毒鸡汤,毒鸡汤/不是别人瞧不起你，只是别人瞧不见你。,0,网络
G82,毒鸡汤,毒鸡汤/有些事，不说是个结，说了是个疤。,0,网络
G83,毒鸡汤,毒鸡汤/我从不去想何时能成功，既然选择了远方，那就还远着呢。,0,网络
G84,毒鸡汤,毒鸡汤/你的晚安，只是想让我闭嘴。,0,网络
G85,毒鸡汤,毒鸡汤/先生，你这张卡上的钱也不够……,0,网络
G86,毒鸡汤,毒鸡汤/小学的英语水平支撑到现在，越来越力不从心了。,0,网络
G87,毒鸡汤,毒鸡汤/喜欢就要表白，这样才能知道你是几号备胎。,0,网络
G88,毒鸡汤,毒鸡汤/你的美别人看不到，你的丑一目了然。,0,网络
G89,毒鸡汤,毒鸡汤/老板用你的时候你就是人才，不用你的时候就变成裁人！,0,网络
G90,毒鸡汤,毒鸡汤/看手机是为了锻炼眼睛,0,网络
G91,毒鸡汤,毒鸡汤/同样都是咸鱼，为什么别人可以翻身，而你却粘锅了？,0,网络
G92,毒鸡汤,毒鸡汤/你长得很有创意，活得很有勇气。,0,网络
G93,毒鸡汤,毒鸡汤/不要再说被骗色了，到你这个年纪来的都是客。,0,网络
G94,毒鸡汤,毒鸡汤/早晨起来照镜子，安慰自己说没事，还有比我更丑的。,0,网络
G95,毒鸡汤,毒鸡汤/好运一定会降临，只是会降临在别人头上。,0,网络
G96,毒鸡汤,毒鸡汤/现在的年轻人，除了睡觉时间不想睡，其它时间都想睡觉。,0,网络
G97,毒鸡汤,毒鸡汤/其实人生，在某个节点后就结束了，大家只是在等彩蛋。,0,网络
G98,毒鸡汤,毒鸡汤/看时间不是为了起床，而是看还能睡多久。,0,网络
G99,毒鸡汤,毒鸡汤/三分天注定，七分靠打拼，还有90分看脸。,0,网络
G100,毒鸡汤,毒鸡汤/不要以为自己坚持不来，你一定会坚持熬夜玩手机。,0,网络
G101,毒鸡汤,毒鸡汤/债主，就是那个你破了产，也不会抛弃你的人。,0,网络
