id,tag,value,copyCount,author
E1,诗词,诗词/射人先射马，擒贼先擒王。,0,网络
E2,诗词,诗词/以人言善我，必以人言罪我。,0,网络
E3,诗词,诗词/海水梦悠悠，君愁我亦愁。,0,网络
E4,诗词,诗词/何处望神州？满眼风光北固楼。,0,网络
E5,诗词,诗词/谁家玉笛暗飞声，散入春风满洛城。,0,网络
E6,诗词,诗词/若似月轮终皎洁，不辞冰雪为卿热。,0,网络
E7,诗词,诗词/乱山残雪夜，孤烛异乡人。,0,网络
E8,诗词,诗词/妆罢低声问夫婿，画眉深浅入时无。,0,网络
E9,诗词,诗词/相思只在：丁香枝上，豆蔻梢头。,0,网络
E10,诗词,诗词/二十四桥明月夜，玉人何处教吹箫？,0,网络
E11,诗词,诗词/黄河远上白云间，一片孤城万仞山。,0,网络
E12,诗词,诗词/谁家玉笛暗飞声，散入春风满洛城。,0,网络
E13,诗词,诗词/苟利国家生死以，岂因祸福避趋之！,0,网络
E14,诗词,诗词/不识庐山真面目，只缘身在此山中。,0,网络
E15,诗词,诗词/思悠悠，恨悠悠，恨到归时方始休。,0,网络
E16,诗词,诗词/雨打梨花深闭门，误了青春，忘了青春。,0,网络
E17,诗词,诗词/泉涸，鱼相与处于陆，相呴以湿，相濡以沫，不如相忘于江湖。,0,网络
E18,诗词,诗词/日色欲尽花含烟，月明欲素愁不眠。,0,网络
E19,诗词,诗词/合抱之木，生于毫末；九层之台，起于累土；千里之行，始于足下。,0,网络
E20,诗词,诗词/采得百花成蜜后，为谁辛苦为谁甜。,0,网络
E21,诗词,诗词/窈窕淑女，君子好逑。,0,网络
E22,诗词,诗词/花自飘零水自流。一种相思，两处闲愁。,0,网络
E23,诗词,诗词/但行好事，莫问前程。,0,网络
E24,诗词,诗词/接天莲叶无穷碧，映日荷花别样红。,0,网络
E25,诗词,诗词/青山相待，白云相爱，梦不到紫罗袍共黄金带。,0,网络
E26,诗词,诗词/待到秋来九月八，我花开后百花杀。,0,网络
E27,诗词,诗词/自古逢秋悲寂寥，我言秋日胜春朝。,0,网络
E28,诗词,诗词/青鸟不传云外信，丁香空结雨中愁。,0,网络
E29,诗词,诗词/相逢一醉是前缘，风雨散、飘然何处。,0,网络
E30,诗词,诗词/黄梅时节家家雨，青草池塘处处蛙。,0,网络
E31,诗词,诗词/曾与美人桥上别，恨无消息到今朝。,0,网络
E32,诗词,诗词/月儿弯弯照九州，几家欢乐几家愁。,0,网络
E33,诗词,诗词/殷勤昨夜三更雨，又得浮生一日凉。,0,网络
E34,诗词,诗词/窈窕淑女，君子好逑。,0,网络
E35,诗词,诗词/但使龙城飞将在，不教胡马度阴山。,0,网络
E36,诗词,诗词/海内存知己，天涯若比邻。,0,网络
E37,诗词,诗词/滚滚长江东逝水，浪花淘尽英雄。,0,网络
E38,诗词,诗词/八阵图名成卧龙，六韬书功在飞熊。,0,网络
E39,诗词,诗词/肠已断，泪难收。相思重上小红楼。,0,网络
E40,诗词,诗词/世事短如春梦，人情薄似秋云。,0,网络
E41,诗词,诗词/玲珑骰子安红豆，入骨相思知不知。,0,网络
E42,诗词,诗词/爆竹声中一岁除，春风送暖入屠苏。,0,网络
E43,诗词,诗词/路曼曼其修远兮，吾将上下而求索。,0,网络
E44,诗词,诗词/北方有佳人，绝世而独立。,0,网络
E45,诗词,诗词/清明时节雨纷纷，路上行人欲断魂。,0,网络
E46,诗词,诗词/生当作人杰，死亦为鬼雄。,0,网络
E47,诗词,诗词/无边落木萧萧下，不尽长江滚滚来。,0,网络
E48,诗词,诗词/我见青山多妩媚，料青山见我应如是。,0,网络
E49,诗词,诗词/南朝四百八十寺，多少楼台烟雨中。,0,网络
E50,诗词,诗词/似此星辰非昨夜，为谁风露立中宵。,0,网络
E51,诗词,诗词/春心莫共花争发，一寸相思一寸灰！,0,网络
E52,诗词,诗词/莫笑贱贫夸富贵，共成枯骨两何如？,0,网络
E53,诗词,诗词/清明时节雨纷纷，路上行人欲断魂。,0,网络
E54,诗词,诗词/小楼一夜听春雨，深巷明朝卖杏花。,0,网络
E55,诗词,诗词/衰兰送客咸阳道，天若有情天亦老。,0,网络
E56,诗词,诗词/似花还似非花，也无人惜从教坠。,0,网络
E57,诗词,诗词/有三秋桂子，十里荷花。,0,网络
E58,诗词,诗词/夕阳无限好，只是近黄昏。,0,网络
E59,诗词,诗词/桃李春风一杯酒，江湖夜雨十年灯。,0,网络
E60,诗词,诗词/独立寒秋，湘江北去，橘子洲头。,0,网络
E61,诗词,诗词/身既死兮神以灵，魂魄毅兮为鬼雄。,0,网络
E62,诗词,诗词/花自飘零水自流。一种相思，两处闲愁。,0,网络
E63,诗词,诗词/天生我材必有用，千金散尽还复来。,0,网络
E64,诗词,诗词/落花人独立，微雨燕双飞。,0,网络
E65,诗词,诗词/燕子来时新社，梨花落后清明。,0,网络
E66,诗词,诗词/问世间，情为何物，直教生死相许？,0,网络
E67,诗词,诗词/一寸相思千万绪。人间没个安排处。,0,网络
E68,诗词,诗词/危楼高百尺，手可摘星辰。,0,网络
E69,诗词,诗词/什么是焦虑？褶子和皱纹，在神经的丝绸上。,0,网络
E70,诗词,诗词/花间一壶酒，独酌无相亲。,0,网络
E71,诗词,诗词/少年不识愁滋味，爱上层楼。爱上层楼，为赋新词强说愁。,0,网络
E72,诗词,诗词/人间四月芳菲尽，山寺桃花始盛开。,0,网络
E73,诗词,诗词/丈夫非无泪，不洒离别间。,0,网络
E74,诗词,诗词/依旧，依旧，人与绿杨俱瘦。,0,网络
E75,诗词,诗词/人生自是有情痴，此恨不关风与月。,0,网络
E76,诗词,诗词/想当年，金戈铁马，气吞万里如虎。,0,网络
E77,诗词,诗词/什么是焦虑？褶子和皱纹，在神经的丝绸上。,0,网络
E78,诗词,诗词/落花人独立，微雨燕双飞。,0,网络
E79,诗词,诗词/山有木兮木有枝，心悦君兮君不知。,0,网络
E80,诗词,诗词/相思一夜梅花发，忽到窗前疑是君。,0,网络
E81,诗词,诗词/见贤思齐焉，见不贤而内自省也。,0,网络
E82,诗词,诗词/臣心一片磁针石，不指南方不肯休。,0,网络
E83,诗词,诗词/上善若水，水善利万物而不争。,0,网络
E84,诗词,诗词/梧桐叶上三更雨，叶叶声声是别离。,0,网络
E85,诗词,诗词/古人学问无遗力，少壮工夫老始成。,0,网络
E86,诗词,诗词/夜来幽梦忽还乡。小轩窗。正梳妆。相顾无言，惟有泪千行。,0,网络
E87,诗词,诗词/茅檐低小，溪上青青草。醉里吴音相媚好，白发谁家翁媪？,0,网络
E88,诗词,诗词/执手相看泪眼，竟无语凝噎。,0,网络
E89,诗词,诗词/人生得意须尽欢，莫使金樽空对月。,0,网络
E90,诗词,诗词/春未绿，鬓先丝。人间别久不成悲。,0,网络
E91,诗词,诗词/人言落日是天涯，望极天涯不见家。,0,网络
E92,诗词,诗词/易求无价宝，难得有心郎。,0,网络
E93,诗词,诗词/迟日江山丽，春风花草香。,0,网络
E94,诗词,诗词/少年不识愁滋味，爱上层楼。爱上层楼，为赋新词强说愁。,0,网络
E95,诗词,诗词/射人先射马，擒贼先擒王。,0,网络
E96,诗词,诗词/迢迢牵牛星，皎皎河汉女。,0,网络
E97,诗词,诗词/小舟从此逝，江海寄余生。,0,网络
E98,诗词,诗词/柴门闻犬吠，风雪夜归人。,0,网络
E99,诗词,诗词/浮云游子意，落日故人情。,0,网络
E100,诗词,诗词/此情无计可消除，才下眉头，却上心头。,0,网络
E101,诗词,诗词/欲买桂花同载酒，终不似、少年游。,0,网络
E102,诗词,诗词/臣心一片磁针石，不指南方不肯休。,0,网络
E103,诗词,诗词/一别如斯，落尽梨花月又西。,0,网络
E104,诗词,诗词/星垂平野阔，月涌大江流。,0,网络
E105,诗词,诗词/风一更，雪一更，聒碎乡心梦不成，故园无此声。,0,网络
E106,诗词,诗词/抛得开手里玩具，先懂得好好进睡。,0,网络
E107,诗词,诗词/落红不是无情物，化作春泥更护花。,0,网络
E108,诗词,诗词/入我相思门，知我相思苦。,0,网络
E109,诗词,诗词/大鹏一日同风起，扶摇直上九万里。,0,网络
