id,tag,value,copyCount,author
J1,奇葩对话,"奇葩对话/出轨的女人都是聪明的<br><br>有一个三十多岁的女人背着自己的丈夫偷男人，正在情浓之际，门开了，发出挺大的嗓音，床上那个男人听到了，吓得浑身颤抖。女人反应特快，小声对他说：“你躺在被子里千万不要动。”男人只好把头象乌龟一样缩进了被子里，可是，由于心里特别紧张，两只光脚丫还是露在了外边，就那么支着，一动也不敢动，因为这是女人的命令，他自己也是根本没有觉察到。<br>丈夫很快就进了屋，见自己的女人露出一对雪白的光膀子静静地躺在床上，用一对深情的目光瞟着他，不觉就动了真气，急急忙忙脱下衣服钻进了被窝平躺在那里，等待着妻子先给他按摩，这是结婚多年来一直养成的习惯。<br>妻子就把手伸到了他的身上，丈夫就在闭眼之前朦胧地发现下面有六只脚丫，马上惊醒起来，大声问道：“怎么会有六只脚呢？”<br>妻子急中生智，说道：“你的眼睛花了，二个人怎么可能有六只脚呢，不信，你下地去数一数。”<br>丈夫也听话，光着身子下了地，把眼睛贴的很近，一个一个查了起来，真就是四只脚丫，他就在心里合计起来，真是见鬼了，刚才明明看见有六只，现在怎么突然又变成了四只？他晃晃悠悠就钻进了被子，这时，女人就把自己的两只脚缩了回去，男人也把自己的两只脚伸了出去，他就瞪着大眼珠子又查了一遍，果然是四只，心里就安稳多了，于是乎闭上了双眼，等待着妻子给他按摩，嘴里不停地说：“哎哟，真是爽极了！”
",0,网络
J2,奇葩对话,"奇葩对话/马年梦想<br><br>儿子：爸爸，你的马年梦想是什么？<br>爸爸：爸爸还没想好呢！你呢？<br>儿子：我的梦想是完成蛇年没有完成的事！<br>爸爸：你蛇年有啥没完成的？<br>儿子：班长把我向她求婚的花丢掉了，我今年要继续向她求婚，直到她答应！
",0,网络
J5,奇葩对话,"奇葩对话/选择<br><br>小明上课玩手机被老师发现，老师便故意问小明说：“小明，你说这道题选什么？’<br>小明不知道，便乱说了一个选项，老师冷笑道‘真的选这个吗?<br>小明有些犹豫了，正在这时他的手机突然响了‘你的选择没有错.......。
",0,网络
J6,奇葩对话,"奇葩对话/撞树上了<br><br>清晨<br>告别一夜的劳累<br>洗去一身的疲惫<br>吃完不变的早点<br>困意慢慢的袭来<br>阳光<br>依然是那样灿烂<br>驱逐清净得夜晚<br>带来喧闹与温暖<br>我却是无法享受<br>春风吹过<br>尘土漫天<br>转身<br>手捂口鼻<br>你还是把我眼睛迷住<br>闭目轻柔<br>脚步却未停住<br>瞬间金星满天<br>良久耳旁有人呼唤<br>发现自己已倒入大地的怀抱<br>询问原因得到了答案却是<br>“靠！老跟你说走路就别睡觉了，这回撞树上了吧”
",0,网络
J7,奇葩对话,"奇葩对话/神经男女的对话<br><br>神经女：你爱我吗？<br>神经男：我喜欢你。<br>神经女：怎么，你不爱我？<br>神经男：爱啊！怎么能说不爱呢?<br>神经女：怎么，你又不喜欢我了？<br>神经男：喜欢啊!怎么能说不喜欢呢?<br>神经女：那你到底是喜欢我还是爱我？<br>神经男：我既喜欢你又爱你。我喜欢你魔鬼般的面貌，爱你天使般的身材。<br>神经女：我也一样的喜欢你和爱你，我喜欢你虚伪的笑，爱你真实的钞票。<br>神经男：除了妈妈之外，你是第一个说我长的像犀利哥的女人。<br>神经女：除了爸爸之外，你是第一个说我长的像风姐的男人。<br>神经男：一看见你我就血压升高。<br>神经女：一靠近你我就心跳加速。<br>神经女：自从认识你之后我就失眠了。<br>神经男：自从认识你之后我就失恋了。<br>神经女：看着你流了一滴血，我的眼泪都急出来了。<br>神经男：看到你流了一滴眼泪，我把裤子都急湿了。<br>神经男：拧你一下，我便找到了初恋的感觉。<br>神经女：咬你一口，我便尝到了爱情的滋味。<br>神经男：一听到爱上不该爱的人这首歌我就想起你。<br>神经女：一听到披着羊皮的狼就感觉你在我的身旁。<br>神经男：一看到你，我就有一种神经过敏的感觉。<br>神经女：一想起你，我就有一种魂不附体的错觉。<br>神经男：你让我不会再爱别的女人。<br>神经女：你让我不敢再爱别的男人。<br>神经女：你让我见识了什么是帅哥。<br>神经男：你让我不知道什么是美女。<br>神经男：为了你的脸蛋，为了你的头，为了你，我可以去跳楼。<br>神经女：为了你的心，为了你的胃，为了你，我可以去喝敌敌畏。<br>神经男：如果你是风儿，那我就是沙。<br>神经女：如果你是乌龟，那我就是王八。<br>神经男：下辈子我还要做你的老公。<br>神经女：下辈子我也要做你的老母。<br>神经男：还记得我们的天长地久，还记得我们的海誓山盟吗？<br>神经女：还记得我们的惊天动地，还记得我们的晴天霹雳吗？<br>神经男：就算海枯石烂，我也要和你烂在一起。<br>神经女：就算地老天荒，我也要和你成对成双。<br>神经男：追你，是昨天的事。爱你，从明天开始。<br>神经女：想你，是刚才的事。疼你，从现在开始。<br>神经男：为了表达我对你的爱意，请允许我叫你声大姐。<br>神经女：为了抒发我对你的仰慕，请允许我叫你声姐夫。<br>神经男：(唱)好难过，这不是我要的那种结果，结果。。。。。。<br>神经女：(唱）不要再来伤害我，自由自在多快乐。。。。。。<br>主治医生：该输液了，有什么话出院后再讲。
",0,网络
J8,奇葩对话,"奇葩对话/规矩何其多<br><br>上学读书的时候有校规。<br>开车上路的时候有交规。<br>教育后代的时候有家规。<br>经商开店的时候有行规。<br>进厂打工的时候有厂规。<br>军人训练的时候有军规。<br>和尚用餐的时候有戒规。<br>作业画图的时候有圆规。<br>收押犯人的时候有狱规。<br>官员施政的时候有法规。<br>皇帝行事的时候有皇规。<br>建立新政的时候有朝规。<br>求人办事的时候有潜规。<br>男女见面的时候有常规。<br>做任何事情都不要犯规！
",0,网络
J9,奇葩对话,"奇葩对话/我就能睡个好觉了！<br><br>今天我看老婆正盯着俺家的猫咪小喵发呆，我就躲在老婆身后，狠狠地拍了老婆一下，冲老婆说道：“傻样，看什么呢？这么认真！”<br>老婆也被吓得够呛，冲我吼道：“你干嘛啊！真是!”<br>我一愣，笑嘻嘻的说道：“你看什么呢，这么认真！”<br>老婆笑嘻嘻的说道：“你要是也能和猫咪一样就好了！”<br>我一愣，说道：“难道是要我变成跟小猫咪一样可爱，老是对你撒娇么？”<br>老婆摇了摇头道：“不是这样，你要能跟猫咪一样，能舔到自己的下半身，我就能睡个好觉了！”
",0,网络
J10,奇葩对话,"奇葩对话/谁是王<br><br>同学甲：你家谁是王？<br>同学乙：妈妈呗！<br>同学甲：你妈妈是怎样惩罚你们的？<br>同学乙:我挨暴揍爸跪搓衣板！你家呢？<br>同学甲：我家更惨，我跪搓衣板；爸爸穿内裤罚站门外夏天蚊虫咬冬天冻得直哆嗦......
",0,网络
J11,奇葩对话,"奇葩对话/你要是有块地，我立马认你做干爹<br><br>一堆儿老邻居唠嗑，谈着关于房子和地的话题。<br>甲：“我要是有块地……”<br>没等甲说完，乙：“你要是有块地，我立马认你做干爹。”<br>这时一名快递员问：“谁是XX？”<br>甲：“我是。”<br>快递员：“你有快递，请签收。”<br>甲：“哦好的好的。”<br>甲签收完一回头儿，乙没影儿了，问：“我干儿子呢？”
",0,网络
J12,奇葩对话,"奇葩对话/横批：它不死我死<br><br>除夕的上午，偶去沙井上寮菜市场买菜，在偌大的市场上，一个摊位尤其引人注目，菜摊卖药不卖菜，大喇叭还哀歌连连，更叫人称绝的是挂在那里一幅对联！上联：厂家优惠直销，下联：承诺蟑螂必死。横批：它不死我死
",0,网络
J13,奇葩对话,"奇葩对话/老总和员工<br><br>有一次老总把他的一个员工安排到了距离他很近的身边，而那个不善于沟通，整天都没说几句话，于是他想调侃下他的员工，想让他的员工难堪一下，他对员工说：你是什么时候来到这边工作的啊！？怎么我不知道的呢？但是他的员工头脑一闪，心生一计便对他的老板说：“我是很久以前过来的啊？你难道忘记了吗？”被他这么一说老板都不知道该说些什么好，默默地走开了！
",0,网络
J14,奇葩对话,"奇葩对话/和爸爸一人一半<br><br>削苹果给女儿吃。<br>女儿说：“爸爸，我们一人一半吧？”<br>我立马心里一暖，女儿会关心爸爸了，于是说：“好啊。”<br>于是，女儿拿走了苹果，把苹果皮分给了我。。。
",0,网络
J25,奇葩对话,"奇葩对话/二郞神去泰国<br><br>二郞神家里闹耗子,虽然家里有啸天这条狗,可是啸天不愿拿耗子.二郞神只好命啸天下界去买鼠药""毒鼠强”<br>啸天知道主人小气,从来不给自己报销差旅费,只能步行前去了.可能是自己年事已高,加上多年没有下界,一不小心走到泰国去了.<br>因为没有护照,语言又不通,啸天被泰国警方当做流浪狗收容了.<br>家里的耗子越闹越凶,二郞神久等啸天不见回,掐指一算,方知啸天出了事.只能自己亲自跑一敞了.<br>到了泰国,二郞神发现街上好多男人的打扮居然和自己差不多,不由怀疑起自己的身世来.怪不自己一直对男女之事没兴趣,原来自己是泰国的那种人啊!
",0,网络
J26,奇葩对话,"奇葩对话/交钱，交照片<br><br>我的日语马上要考级了，一位我们从来没有见过的老师对我们说：“这个网站是报名的，点击这个网站交电子照片，和钱，钱用支付宝交。”<br>我叹了口气，无非是想让我们交钱呗！<br>同桌歪过头来指着老师问我：“教什么的？”<br>我以为她指着后面的网址，我回答：“还能交什么呢！交钱，交照片！”
",0,网络
J27,奇葩对话,"奇葩对话/你家蚊子认生了。<br><br>我舍友回家了，回来时脸上有好几个红痘痘，问她怎么了。她说蚊子叮的。<br>忽然我下铺说，怎么回事。在学校两天你家蚊子就对你认生了，竟然敢叮你了？反了他了，你去把她妈妈叫来我给她面谈面谈。<br>然后全宿舍寂静了。
",0,网络
J28,奇葩对话,"奇葩对话/漂亮MM的卫生巾<br><br>2002年的一天，我在广州一家面包店里，点了一块三明治和一杯可乐。招待我的是一位杏眼朱唇，秀发垂肩的MM。我忽感尿急，就问道，请问，这里有卫生间吗？那MM脸一红，羞羞的说，我们这里没有，隔壁有。<br>我到隔壁一看，竟然是家商店。无奈，我七拐八拐，找了个旮旯解决。回到面包房，我刚叼上可乐吸管，那MM就移步至前，双手叠于腹，轻轻弯腰，依然羞红了脸，请问先生刚才要卫生间吗？是呀。我愕然的看着她。哦，对不起，我还以为您要卫生巾呐？<br>人说“喷饭”，殊不知“喷可乐”才叫爽。
",0,网络
J29,奇葩对话,"奇葩对话/我不是女生我也懂<br><br>今天跟表姐聊天，表姐有些心酸的说道：“女生，真可怜啊，来了大姨妈可痛了！”<br>我点了点头道：“可不嘛，我知道的！”<br>表姐看了看我，有些疑惑的说道：“你怎么可能啊，你才9岁啊，而且你还是个男的！”<br>我奶声奶气的回答道：“来了大姨妈是不是要贴卫生巾啊！”<br>表姐点了点头道：“是啊！”<br>我拿出了一个卫生巾道：“就是这破烂么？我为了好玩也贴了下，没想到撕下来的时候，会那么痛，所以说女生来大姨妈很痛啊！”<br>表姐看着我手中的暖宝贴默默发呆道：“你贴反了啊，没撕下来皮不错了，你就知足吧！”
",0,网络
J30,奇葩对话,"奇葩对话/昨天相亲去了...<br><br>女甲：听说你昨天相亲去了？<br>女乙：是的。<br>女甲：那男的怎么样？<br>女乙：他有一栋50年前的海边别墅。<br>女甲：条件不错啊！<br>女乙：可他也是这栋别墅的建设者之一！
",0,网络
J31,奇葩对话,"奇葩对话/轮回的日子，你无路可走！<br><br>在家里，电视，电脑常相伴，二十四小时离不开它们，日复一日地接触它们；在学校，语数外物化生政史地，日日夜夜没完没了的作业，写得人…心肝脾背肾功能损坏，脑浆横着细水长流；在单位，工作任务接踵而来，来了一批又一批，咖啡因充斥在大脑得每一个角落。问世间压力持多久，恰似工资踏步走；问你房子有没有，月租整天头碰头？如果每天愁交愁，哥们！回头，来杯刀烧酒…
",0,网络
J32,奇葩对话,"奇葩对话/刷牙<br><br>一个男生和一个女生，男生本来想吃完饭亲吻女生的嘴，可是偏偏女生刷完牙了，这个时候男生去吻女生，女生说：“别，我刷牙了，”男生问：“我吻你，跟刷牙有什么关系？”女生答：“刷了牙就吻不了，因为你的嘴有油，我的牙占油了。”
",0,网络
J33,奇葩对话,"奇葩对话/恐怖：豌豆公主<br><br> 一天下了大雨，一个贵人家的门咚咚的响了起来，妇人打开门，看见了一位少女，少女说：“我是一名公主，因下雨迷路找不到家，可不可以让我住一晚？” 妇人一听是公主，便叫仆人铺了好几层被子、好几层棉花毯。。但在下面放了一个很小的豌豆。第二天，妇人问公主睡的怎么样，公主说：“实在不怎么样，我的背被一个东西弄得青一块紫一块的。”妇人一听，笑了。<br>第三天，妇人的儿子回来，妇人把一盘肉放在桌子上，儿子说：“今天的肉真的很嫩呢。”<br>妇人邪笑：“是啊，妈妈终于给你弄到最嫩的肉了。”<br> 
",0,网络
J34,奇葩对话,"奇葩对话/我的钱<br><br>小红上街捡了一百块钱，回家后就像小呆炫耀；小呆当时就说那一百元是我掉的，小红就问他说你掉的是一张还是两张，小呆就说掉的是一张一百的小红就说我捡的是两张啊，小呆就说那是我不小心掉下去摔碎了的。。。。。。
",0,网络
J35,奇葩对话,"奇葩对话/真聪明<br><br>一日我们去电影院看恐怖片，一哥们吓得尿了裤子。被我看见了，便说：“你胆真小。！”他却说到：“唉。。。前列腺炎又犯了。”我们齐声问到：“你什么时候得的前列腺炎？？？”他回到：“刚刚。。”
",0,网络
J36,奇葩对话,"奇葩对话/墨水都喝到屁眼里去了<br><br>一墨水厂的厂长是一位刚提起来的研究生，很是有些经纶。墨水好多年都没有长什么价，完全靠卖的量多赚钱。新厂长认为，要提高墨水的价格，必须从包装上入手。冥思苦想，后来受到了古代的倒装壶（一种从屁眼灌水的茶壶）的启发：如果要是用倒装壶装墨水，买主既买了墨水，又还买了一件藏品，一举两得。于是就订做了几万个倒装壶，装上了墨水，发到了市场。结果几个月过去了，一瓶也没有卖出去，墨水厂濒临倒闭。工人们气愤地说：“什么研究生！墨水都喝到屁眼里去了。”
",0,网络
J37,奇葩对话,"奇葩对话/我在看他啊！<br><br>一天坐公交车时，有个长的很猥琐的男子，不住的朝一妙龄女子，不住的淫笑，指手画脚，那女子开始一直忍着，脸气的发青，手都发抖，最后实在忍无可忍，从座位上站起来，走到那猥琐男子面前，扬手就是一把掌，那人愣了下，到你干啥啊！，<br>女子说道：“流氓啊你！”<br>男子捂着手说道：“哪有我一直在跟女儿手语对话呢！，她是哑巴”<br>那女子回头一看，后边座位上坐着个瑟瑟的女孩。
",0,网络
J38,奇葩对话,"奇葩对话/猫的联想<br><br>男生甲：“我最讨厌猫了！” <br>男生乙：“为什么？”<br>男生甲：“因为当你一旦贫穷得无法继续满足它的口味和需求时，它就会毫不犹豫地离开你！就像……” <br>男生乙：“就像什么？”<br>男生甲：“就像我的前妻一样！！”
",0,网络
J39,奇葩对话,"奇葩对话/转行了<br><br>半夜收到短信：办理各种证件……尼玛，可恶的骗子让我睡不好觉……<br>马上把电话打过去，对方很高兴：喂，先生您好，您……<br>你有包子吗？，给我送一份包子……<br>对方无语……<br>哈哈……光这样不行，还得在网上，发个帖子，让大家都来……看你还敢骗人……<br>几天后，上网，想到了再打电话骚扰一下这个可恶的骗子……<br>喂，你有包子吗？我要一份……<br>对方无语……<br>过了一会，叮咚，有人按门铃，开门一看，真有人把包子送来了……<br>啊，你们不是办证的吗？怎么？<br>哦，最近要包子的人很多，再说了办证违法，还不如转行，不很好吗……<br>啊，尼玛，我……
",0,网络
J40,奇葩对话,"奇葩对话/遛鸡<br><br>我们的邻居张老师是一个说话特别风趣的人，一天傍晚，我们下楼散步，张老师一家也正巧下来，五楼的邻居买了一只鸡，用绳子套住鸡脚，绑在下面花圃的一根香樟树上，这时正解开绳索，牵着鸡，慢慢地走着。看到这一幕，张老师说话了：“啊！别人都遛狗，你却在遛鸡！”引得我们几人哈哈大笑。
",0,网络
J41,奇葩对话,"奇葩对话/你这么厉害，你家人知道吗<br><br>学生：老师，我不要上学，我要回家。<br>老师：不上学，你以后怎么生活？<br>学生：老师你是什么学历？<br>老师：北大中文系研究生。<br>学生：念了多少年书？<br>老师：从小学到硕士，一共二十七年。<br>学生：老师现在有女友吗？<br>老师不好意思笑笑：暂时还没有。<br>学生：老师一个月能拿五千吗？<br>老师尴尬一笑：没，没这么多。<br>学生：你在这买了房子吗，或者说首付付完了。<br>老师再次尴尬：等我贷款下来，就差不多了。<br>学生：对于一个上了二十几年学，到现在又没房子，没老婆，甚至工资五千都不到，你有什么资格教训我，有什么资格不允许我回家，有什么脸面再这跟我说教。老师，不好意思，我要先走，女友在希尔顿等我好久了。<br>老师：。。。。。
",0,网络
J42,奇葩对话,"奇葩对话/这笑话泡妞决对很好。<br><br>一男的喜欢一女的。又苦于无法表达。一日。这男突然面对那女的深情地说：“我是真的爱你”。那女的不好意思。旁边很多人看着。没等那女反应。那男的说“这首歌是王杰的。很好听呢！”旁人全部晕倒
",0,网络
J43,奇葩对话,"奇葩对话/可爱的同事<br><br>昨天与一群同事路过一座大桥，忽见一乞丐拿出一只大碗，对着我们乞讨，我见一好心同事上前探视。忽然心里感叹，这个同事的心地太好。只见这位同事暴跳一声：“你没钱把碗给我干吗”
",0,网络
J44,奇葩对话,"奇葩对话/这次真的是玩大的了<br><br>女儿都上五年级了，但是放学后还总是喜欢跟小区里一群幼儿园的小孩子们玩“小狗、小猫、小刺猬”的游戏，我看在眼里急在心里：太幼稚了！有一天，我实在忍不住了，看她又和小朋友们玩这个游戏，便严肃地对她说：“你都这么大了，还玩这么幼稚的游戏！如果下次再让我看见，那么放学后就不要出来玩了！大孩子了，要玩就玩点大的嘛！”<br>女儿听后没吱声，但是若有所思。<br>过了几天，我又发现她依然和小朋友们在玩同一个游戏，便火冒三丈地把她叫过来。<br>没等我开口，女儿便怯生生地对我说：“妈妈、妈妈，我们这次真的是玩大的了。你听，我们玩的是‘大狗、大猫、大刺猬’！”
",0,网络
J45,奇葩对话,"奇葩对话/圣诞发礼物<br><br>老王：圣诞你们公司发了什么？<br>老李：不多，就是苹果4。<br>老王：噢，你们公司真是大方啊！<br>老李：就是4个苹果而已。<br>老王：我CAO，怪不得老张说他们公司每人送了个二奶，照你这么说，那肯定是两盒牛奶。
",0,网络
J46,奇葩对话,"奇葩对话/送礼的尴尬<br><br>中国有句老话：礼多人不怪。可是不讲究，碰上忌讳，就会弄巧成拙。<br>在农村乡下时兴送礼，不管是小孩出生，还是老人大寿；不管是大人结婚，还是金榜题名，都要摆上几桌，请亲朋好友聚一聚。有这么一位楞头小伙，送礼送出毛病，搞得灰头灰脸。<br>刚过完年，小舅子要结婚，请他去帮忙，他心血来潮，从市场购得一箱红枣、一箱梨，包了一个大红包送去。心想这回体面，应当会得到小舅子的一番夸奖。谁知还没进门，就被小舅子堵在门外：你存心啊？我还没结婚呢，你就盼我们早离（枣梨）？<br>六月刚到，小妹夫经过上十年的打拼，终于从普通员工熬到基金经理，专门研究市场行情。他听说后，觉得妹夫也不容易，怎么也得表示一下。这天刚有点空闲，绕道从花市买了一盆发财树、一盆金钱树，两棵树长得绿油油，十分茂盛，放在办公室，定能让办公室蓬荜生辉，这回不能挑理了吧。谁知妹夫不领这份情：姐夫，我十几年在股市里摸爬滚打，跌跌撞撞，给股灾闹得我人不像人，鬼不像鬼，看到绿色我心里就发虚，你就别再添乱了！<br>黄金十月，是收获的季节。大舅哥因为与别人发生纠纷，不小心伤了人，给判了两年，今天刚从监狱出来，他带了一家人出门迎接。心想，大舅哥也是十分的冤枉，这次出来，要重新做人，应当有个新气象，首先，应当去发廊理个发，配一副眼镜，改变一下形象，然后到宾馆接风洗尘。到发廊还好，谁知来到眼镜店，大舅哥又火了：你安的什么心？我刚从那里出来，你是咒我再进（镜）去？<br>过年了，老丈人过80大寿，大女儿送的苹果手机、小女儿送的鲜花和蛋糕。他迷思苦想：但凡有的都要有了，其他他也用不上，老人家经常散步，没个时间，吃饭常常误点，让家人等得心焦。舍得血本，买块瑞士产的高档手表，要一扫往日的阴霾，让老婆在众人面前扬眉吐气。切蛋糕，吹蜡烛，众人都把礼物呈上来，惹得老爷子一阵阵笑声……这时，大家都期待二女儿准备的礼物。只见他拿出礼盒，左一层，右一层，包裹的严严实实，拿出金光灿灿的手表……老爷子一见，气得差点背过去：你个兔仔子，我把女儿嫁给你，房子送给你，你不仅不感激我，还暗地里咒我，要早日给我送终（钟表）！天打雷劈的！
",0,网络
J69,奇葩对话,"奇葩对话/我妈妈是打麻将的<br><br>小学一年级新生的第一节课上，老师让学生们上讲台作简单的自我介绍，比如自已的名字，年龄，爱好及父母的职业等。小丽怯怯地上台了，一副害羞的样子，紧张的声音都有些颤抖：“我叫王小丽，7岁了，我喜欢跳舞，我爸爸是老板，我妈妈是。。。。。。小丽先是停顿了几秒钟，然后又歪头想了一下，最后语气非常肯定地说：“我妈妈是打麻将的！”
",0,网络
J70,奇葩对话,"奇葩对话/鸡蛋<br><br>某学校的自然课上，老师正在讲述鸡蛋孵小鸡的基本原理……<br>老师：“……只有符合上述条件的鸡蛋，才能孵出小鸡……”<br>小红：“老师，我刚从乡下带回来一个鸡蛋，你看行不行？”<br>老师：“嗯……，从这个鸡蛋的质感和温度来判断，应该行！”<br>小红：“太好了！幸亏妈妈给我煮了，我还没舍得吃呢！！”
",0,网络
J71,奇葩对话,"奇葩对话/总结得很全面<br><br>一孩子爱上网，其父亲总结其种种“劣行”：<br>穿越火线打魔兽，<br>好友买卖打乐斗，<br>反恐精英三国杀，<br>精武英雄QQ秀。<br>地下城里也敢斗，<br>农场牧场你守候，<br>天龙八部往死揍，<br>4399玩不够！
",0,网络
J72,奇葩对话,"奇葩对话/衣服<br><br>宿舍有一宿迁的，那边h、f不分，刚开始大家不知道。有一天大家都急着下去吃饭，走到楼梯口，她突然来了句：“你们先去吧、我肥宿舍饭件衣糊再去吃换”顿时都懵了，没听懂啊，后来菜名她的意思：“你们先去吧、我回宿舍换件衣服再去吃饭”雷死我们了。。
",0,网络
J73,奇葩对话,"奇葩对话/局长狗日的<br><br>局长家与单位的一个女同事住对门，局长家养了一条狗，公的。女同事家也养了一条狗，母的。开春，狗发情，公狗把母狗给配了，一日，局长发现同事家的母狗怀孕了，便来个明知故问：“你家的狗狗为什么会肚子大了？”女同事幽幽滴回复一句：局长狗日的！
",0,网络
J74,奇葩对话,"奇葩对话/这里没鱼了<br><br>和朋友去钓鱼。<br>朋友钓起一个D杯，后来又钓起一只高跟鞋……<br>他跑过来，说：“我们还是走吧，可能有人下去赶鱼了。”
",0,网络
J75,奇葩对话,"奇葩对话/花氏女儿<br><br>花大爷跟村民老张说：“我告诉你一个我家的喜讯。”<br>老张说：“你家捡到银子啦？”<br>花大爷高兴地说：“我花氏的大女儿嫁到米家，生了一个儿子。”<br>老张说：“恭喜呀，花生米。”<br>花大爷又说：“还有呢，我花氏的次女嫁到姜家也生了一个胖小子。”<br>老张笑着说：“花大爷，你会吃死了，你既有花生米，也有花生浆。”
",0,网络
J76,奇葩对话,"奇葩对话/哈哈原来还有一人不用倒水<br><br>一次在一售楼部车岗的一辆车上下来一人一狗，<br>于是停车场的用对讲机呼叫道：“门岗过来两位”。<br>门岗用对讲机呼叫了吧台。<br>吧台客服倒好了2被热茶准备接待客户，<br>可是一看怎么只有一位。<br>于是客服跑到门口去对门岗的保安说道：“你说两位怎么只有一位啊，我倒了两杯水啊”。<br>门岗保安笑了笑说，还有一位我没说要给他倒水啊。
",0,网络
J77,奇葩对话,"奇葩对话/古诗《草》<br><br>离离原上操，一射一枯荣。欲火烧不尽，春风“吹”又升。
",0,网络
J78,奇葩对话,"奇葩对话/同病相怜的男人<br><br>陪老婆上街买菜，回家的时候路过超市，老婆要进去买点水果，叫我在外面等一等。我不爱进超市，就在外面等。可是，老婆一进去，就很难出来了，我等的不耐烦，就在门口抽烟。<br>突然有个大哥朝我走过来，对我说：“兄弟，借支烟。”<br>我笑笑，递给他一支烟。<br>大哥一边抽烟一边问我：“在等人吧。”<br>我无奈地笑笑：“是啊。”<br>大哥说：“我也是等人，我已经在这里抽完半包烟了……”
",0,网络
J79,奇葩对话,"奇葩对话/此中必有隐情<br><br>1、我正在屋内大吵大闹的时候，老爸从里屋出来了，对我喊道：“大清早的，不好好在家睡觉，老吵吵什么啊？”<br>我忙向老爸解释道：“不是，我那个贱货老婆，昨夜一夜未归，不知道跟哪个狗娘养的东西鬼混了，我能不生气么？”<br>老爸一脚踢在我屁股上面吼道：“兔崽子，怎么说话呢，没大没小的！”<br>我好像明白点什么了！<br>2、我跟老婆一起去买菜，看着老婆把我挑的带刺黄瓜都挑了出去，我不满的说道：“我挑的那些黄瓜做菜都很好吃的，为嘛都不要啊？”<br>老婆边往筐里装嫩黄瓜，边笑着说道：“傻瓜，那种不好用!”<br>我好像明白点什么了。<br>3、一个董事长选员工，很多人都去应聘了，其中有很多高材生，当然，苍井空也在里面。<br>一个北大生率先说话道：“姐是北大的！”<br>另一个浙江大学的也说话道：“姐是浙大！”<br>苍井空小声说道：“我是做大的！”<br>我好像明白点什么什么了。
",0,网络
J80,奇葩对话,"奇葩对话/不看的赏赐<br><br>  那天我无聊在百度收索歌曲，这时有网友发来信息问，好久不见，你在忙什么呢？我低头打下一行字，没看就发了。网友回复偷笑的表情说：别找了，哥在这儿呢！我一看刚发的那一行字，我也郁闷的乐了，我在百度找哥！
",0,网络
J81,奇葩对话,"奇葩对话/情书自动生成器生成的情书<br><br>Dear ***<br>我的宝贝，你可知道,<br>我是多么的爱你?<br>你那干草的头发,它是那样的令人陶醉，<br>更不用说你那对牛眼的眼睛，<br>它让我如此的痴迷, _<br>就好象一汪秋水频频荡漾，又似夜晚的繁星点点闪亮。<br>但最令我疯狂的，还是你那咪咪，<br>它总是充满了诱惑，让我产生犯罪的念头，<br>每当我有意或无意间轻触到它的时候，我的全身便燃起了熊熊烈火。<br>请饶恕我的口不择言，我是如此疯狂地爱着你。<br>如果你认为我仅仅是爱你的外表，那么你错了，<br>你是如此的热情，<br>这些才是我爱你的真正原因?<br>啊，我的宝贝，救救我这颗已被神箭射穿的心灵吧！<br>让我们珍惜这份情缘，<br>携起手来，<br>一起走向永远，永远......<br>                                       爱你的：***
",0,网络
J82,奇葩对话,"奇葩对话/教你如何吃霸王餐。。<br><br>有一天小懒到某某餐馆去吃饭，吃完后小懒拍拍屁股就准备走人，还没走到门口便被服务员给拦下了，服务员面带着微笑说；小姐，你还没付账呢。。小懒听了很鄙视的说了句，瞧你这无知的样，难道就没听说过‘饭可以乱吃’话不可以乱讲的吗。。。服务员。。。。。
",0,网络
J83,奇葩对话,"奇葩对话/他俩都不是<br><br>马女士找律师咨询。想给儿子要抚养费，但是跟王五要还是张三要说不清楚。<br>律师建议她给孩子做亲子鉴定。<br>马女士悄悄问律师：“如果他俩都不是，该咋办？”
",0,网络
J84,奇葩对话,"奇葩对话/抢盐风波<br><br>日本地震一年过去了。上年抢盐风波，很多地方没有盐了，但我宿友的一个举动让我哭笑不得。<br>某日中午，他打电话叫外卖，问老板：“有盐焗鸡饭吗？”老板说有，问他要几份。<br>舍友清了清嗓子说：“要一份！只要盐不要鸡！”
",0,网络
J85,奇葩对话,"奇葩对话/解释很到位<br><br>精神医生：考两个问题……<br>精神病人：好，医生请问……<br>精神医生：假如挖掉你一只眼睛，会怎么样？<br>精神病人：当然是半瞎……<br>精神医生：挖掉两只呢？<br>精神病人：当然是全瞎了……<br>精神医生：哦，好，你可以出去了，喊下一位进来……<br>第一个病人出去后瞧瞧对下一位说：我告诉你医生要问的问题答案……<br>第二个：哦， 哦，我晓得了……<br>精神医生：假如割掉你耳朵会怎样？<br>精神病人：半瞎啊……<br>假如割掉你两只耳朵呢？<br>全瞎啊……<br>医生：解释解释，为什么啊？<br>割掉一个耳朵，我的眼镜只能挂半边了，一只眼就看不到了啊，割掉两只我的眼镜就没有地方挂了，只能是全瞎啊……<br>医生：……
",0,网络
