id,tag,value,copyCount,author
P1,影视,影视/爸爸我也不是一生下来就是爸爸，爸爸也是头一次当爸爸。,0,网络
P2,影视,影视/谎话被歌颂，扮清醒的人作哑装聋。,0,网络
P3,影视,影视/虽然我和他已十年不见，但我知道我会永远怀念他。,0,网络
P4,影视,影视/就像是一场华尔街的阴谋，透露着优雅的杀戮。,0,网络
P5,影视,影视/忘掉生日，忘掉青涩的诗，忘掉他不厌其烦夜夜追逐他影子。,0,网络
P6,影视,影视/高调做事，低调做人。,0,网络
P7,影视,影视/祈愿万家灯火熨烫过脉络，刀山与火海多深刻，都陪你渡过。,0,网络
P8,影视,影视/痛苦犹如一艘船，欲望是指南针。,0,网络
P9,影视,影视/人的痛苦会把自己折磨到多深呢？,0,网络
P10,影视,影视/忘掉生日，忘掉青涩的诗，忘掉他不厌其烦夜夜追逐他影子。,0,网络
P11,影视,影视/高调做事，低调做人。,0,网络
P12,影视,影视/最是人间留不住，朱颜辞镜花辞树。,0,网络
P13,影视,影视/人的痛苦会把自己折磨到多深呢？,0,网络
P14,影视,影视/You complete me !,0,网络
P15,影视,影视/Why so serious?,0,网络
P16,影视,影视/隔着人潮呼救像只困兽，呼吸颤抖去泪流，去相拥。,0,网络
P17,影视,影视/高调做事，低调做人。,0,网络
P18,影视,影视/一个细胞里，却分裂出了两种截然不同的命运。,0,网络
P19,影视,影视/就像是一场华尔街的阴谋，透露着优雅的杀戮。,0,网络
P20,影视,影视/一个细胞里，却分裂出了两种截然不同的命运。,0,网络
P21,影视,影视/所以我松开拳头用手握紧笔，作为自己作为人类也作为你。,0,网络
P22,影视,影视/虽有遗憾，绝不后悔。,0,网络
P23,影视,影视/最是人间留不住，朱颜辞镜花辞树。,0,网络
P24,影视,影视/当人们做不到一些事情的时候，他们会对你说你也同样不能。,0,网络
P25,影视,影视/就像是一场华尔街的阴谋，透露着优雅的杀戮。,0,网络
P26,影视,影视/就像是一场华尔街的阴谋，透露着优雅的杀戮。,0,网络
P27,影视,影视/谎话被歌颂，扮清醒的人作哑装聋。,0,网络
P28,影视,影视/I will always be here for you.,0,网络
P29,影视,影视/祈愿万家灯火熨烫过脉络，刀山与火海多深刻，都陪你渡过。,0,网络
P30,影视,影视/自责要短暂，不过要长久铭记。,0,网络
P31,影视,影视/痛苦犹如一艘船，欲望是指南针。,0,网络
P32,影视,影视/所以我松开拳头用手握紧笔，作为自己作为人类也作为你。,0,网络
P33,影视,影视/虽然我和他已十年不见，但我知道我会永远怀念他。,0,网络
P34,影视,影视/虽有遗憾，绝不后悔。,0,网络
P35,影视,影视/隔着人潮呼救像只困兽，呼吸颤抖去泪流，去相拥。,0,网络
P36,影视,影视/看看人间的苦难，听听人民的呐喊！,0,网络
P37,影视,影视/所以我松开拳头用手握紧笔，作为自己作为人类也作为你。,0,网络
P38,影视,影视/Why so serious?,0,网络
P39,影视,影视/我们生活在阴沟里，但有人依然仰望星空。,0,网络
P40,影视,影视/你说过，人最大的敌人是自己。,0,网络
P41,影视,影视/呐，做人呢，最重要的是开心，你饿不饿，我煮碗面给你吃啊。,0,网络
P42,影视,影视/Why so serious?,0,网络
P43,影视,影视/世事变幻无常，而近乎永恒不变者，唯你我头上的同一片星空。,0,网络
P44,影视,影视/迎着风，拥抱彩虹！,0,网络
P45,影视,影视/曾盛开过一朵，曾不会败落，曾在他眼中流淌过浩瀚的银河。,0,网络
P46,影视,影视/虽然我和他已十年不见，但我知道我会永远怀念他。,0,网络
P47,影视,影视/爱你所爱，行你所行，听从你心，无问西东。,0,网络
P48,影视,影视/就像是一场华尔街的阴谋，透露着优雅的杀戮。,0,网络
P49,影视,影视/Why so serious?,0,网络
P50,影视,影视/爸爸我也不是一生下来就是爸爸，爸爸也是头一次当爸爸。,0,网络
P51,影视,影视/虽然我和他已十年不见，但我知道我会永远怀念他。,0,网络
P52,影视,影视/谎话被歌颂，扮清醒的人作哑装聋。,0,网络
P53,影视,影视/如果你有梦想，就要守护它。,0,网络
P54,影视,影视/痛苦犹如一艘船，欲望是指南针。,0,网络
P55,影视,影视/人的痛苦会把自己折磨到多深呢？,0,网络
P56,影视,影视/Why so serious?,0,网络
P57,影视,影视/看看人间的苦难，听听人民的呐喊！,0,网络
P58,影视,影视/You complete me !,0,网络
P59,影视,影视/如果你有梦想，就要守护它。,0,网络
P60,影视,影视/金钱和女人，是人生犯错的根源。,0,网络
P61,影视,影视/呐，做人呢，最重要的是开心，你饿不饿，我煮碗面给你吃啊。,0,网络
P62,影视,影视/隔着人潮呼救像只困兽，呼吸颤抖去泪流，去相拥。,0,网络
P63,影视,影视/如果你仲记得我，就返转头啦。,0,网络
P64,影视,影视/人的痛苦会把自己折磨到多深呢？,0,网络
P65,影视,影视/看看人间的苦难，听听人民的呐喊！,0,网络
P66,影视,影视/如果你仲记得我，就返转头啦。,0,网络
P67,影视,影视/所以我松开拳头用手握紧笔，作为自己作为人类也作为你。,0,网络
P68,影视,影视/你说过，人最大的敌人是自己。,0,网络
P69,影视,影视/如果你有梦想，就要守护它。,0,网络
P70,影视,影视/忘掉生日，忘掉青涩的诗，忘掉他不厌其烦夜夜追逐他影子。,0,网络
P71,影视,影视/金钱和女人，是人生犯错的根源。,0,网络
P72,影视,影视/You complete me !,0,网络
P73,影视,影视/高调做事，低调做人。,0,网络
P74,影视,影视/虽然我和他已十年不见，但我知道我会永远怀念他。,0,网络
P75,影视,影视/看看人间的苦难，听听人民的呐喊！,0,网络
P76,影视,影视/I will always be here for you.,0,网络
P77,影视,影视/爱你所爱，行你所行，听从你心，无问西东。,0,网络
P78,影视,影视/金钱和女人，是人生犯错的根源。,0,网络
P79,影视,影视/迎着风，拥抱彩虹！,0,网络
P80,影视,影视/人的痛苦会把自己折磨到多深呢？,0,网络
P81,影视,影视/成年人的世界没有容易二字。,0,网络
P82,影视,影视/看看人间的苦难，听听人民的呐喊！,0,网络
P83,影视,影视/迎着风，拥抱彩虹！,0,网络
P84,影视,影视/就像是一场华尔街的阴谋，透露着优雅的杀戮。,0,网络
