id,tag,value,copyCount,author
U1,情话,"情话/最美好的两件事，
就是睡你，
睡觉和你。",0,网络
U2,情话,"情话/每天只想和你做四件事，
一日三餐。",0,网络
U3,情话,"情话/你把我的心弄乱了，
啥时候来弄乱，
我的床。",0,网络
U4,情话,"情话/没有胃口，
不想吃饭，
只想吃你。",0,网络
U5,情话,"情话/想让你每天，
都幸福，
也性福。",0,网络
U6,情话,情话/面对你，我不仅善解人意，还善解人衣。,0,网络
U7,情话,情话/我想你一定很忙，所以只看前三个字就好啦。,0,网络
U8,情话,情话/人一生啪啪啪总时长只有四周吗，我全都 想和你度过。,0,网络
U9,情话,情话/1月1日和1月31日，你更喜欢哪个？,0,网络
U10,情话,情话/今天我想你想得，连续换了五条小内裤。,0,网络
U11,情话,情话/我有笔好几亿的生意，想和你谈谈。,0,网络
U12,情话,情话/想送你很多很多口红，让你每天还我一点点。,0,网络
U13,情话,情话/你知道我最爱的是什么吗？现 在看这句话第一个字就知道了。,0,网络
U14,情话,情话/你和我所有的前任比起来，他们不过是前戏，你才是我想要的高潮。,0,网络
U15,情话,情话/只有70件事最令我开心，一件是你，一件是69。,0,网络
U16,情话,情话/你的酒窝没有酒 ，我却醉得像条狗。,0,网络
U17,情话,情话/传闻人有206根骨头，一遇见你呀，我就有207根啦。,0,网络
U18,情话,情话/没有你，就像热干面没有芝麻酱，毫无滋味。,0,网络
U19,情话,情话/你辛苦归辛苦，什么时候有空嫁给我？,0,网络
U20,情话,"情话/我最讨厌你问我爱你吗
爱不爱难道你不知道吗
你不会把诗竖着看下吗",0,网络
U21,情话,"情话/你又看不到，
少一行又何妨",0,网络
U22,情话,"情话/我有一个喜欢的人你帮我追好吗？
好，谁？
第一句的第九个字。",0,网络
U23,情话,"情话/我听说
喜鹊喝多了可乐会变成乌鸦
欢迎光临说多了会变成谢谢惠顾
你的猫咪太爱你会变成兔子
啊 还有 听说人会因为太害羞把想说的话藏在句首",0,网络
U24,情话,"情话/番茄和西红柿，
土豆和马铃薯，
我喜欢的人和你",0,网络
U25,情话,"情话/我以法律之名，
判你终身监禁，
在我心里执行。",0,网络
U26,情话,"情话/我爱你，
其余两行，
都是废话。",0,网络
U27,情话,"情话/First I miss you.
Then I miss you.
Finally I miss you.",0,网络
U28,情话,"情话/I am ...
Not happy
Beca se...",0,网络
U29,情话,"情话/Mg+ZnSo4＝MgSo4+Zn，
你的“镁”夺走了我的“锌”。",0,网络
U30,情话,"情话/“你知道[立刻]、[有]的拼音怎么写吗？”
“like you”。",0,网络
U31,情话,"情话/“我只有两个心愿：”
“你在身边，”
“在你身边。”",0,网络
U32,情话,"情话/“无事献殷勤，非……”
“非常喜欢你”",0,网络
U33,情话,"情话/“何以解忧？，唯有暴…”
“抱抱你。”",0,网络
U34,情话,"情话/“老虎不发威，你当我…”
“女朋友吧？”",0,网络
U35,情话,"情话/想有一天挽着你的手，
去敬各位来宾的酒。",0,网络
U36,情话,"情话/我想你一定很忙，
所以只看前三个字就好啦。",0,网络
U37,情话,"情话/我喜欢你。
第一句是假的。
第二句也是假的。",0,网络
U38,情话,"情话/未经允许，擅自特别喜欢你，
不好意思了。",0,网络
U39,情话,"情话/想用漂亮的话哄你，
想来想去，
最漂亮的只有你。",0,网络
U40,情话,"情话/我非常喜欢她，
今天比昨天多一点，
明天也比今天多一点。",0,网络
U41,情话,"情话/一想到昨天的我也喜欢你，
今天的我就吃醋了。",0,网络
U42,情话,"情话/一到深夜，
饿和想你，
都得忍着。",0,网络
U43,情话,"情话/我有一个超能力哦，
超~~~~~~喜欢你",0,网络
U44,情话,"情话/月色与雪色之间，
你是第三种，
——绝色。",0,网络
U45,情话,"情话/不论我是什么，
我是你的。
Whatever I am，I'm your's.",0,网络
U46,情话,"情话/我觉得你接近我是为了害我！
害得我好喜欢你啊。",0,网络
U47,情话,"情话/“你喜欢水吗？”
“嗯。”
“恭喜你喜欢上70％的我了。”",0,网络
U48,情话,"情话/“来者何人。”
“你的人。”",0,网络
U49,情话,情话/你懂我深浅，我知你长短。,0,网络
U50,情话,情话/饭在锅里人在床上你随便啊。,0,网络
U51,情话,情话/媳妇第九套广播体操，开始。,0,网络
U52,情话,情话/我们喝着酒，误入彼此的禁区。,0,网络
U53,情话,情话/花有什么好种的，来和我种草莓。,0,网络
U54,情话,情话/等我一下，我先洗个头再爱你呀。,0,网络
U55,情话,情话/只想每天和你四件事，一日三餐。,0,网络
U56,情话,情话/我想在老的时候吻你光光的牙床。,0,网络
U57,情话,情话/世界上那么多的花，我只采你的蜜。,0,网络
U58,情话,情话/我心里装的怀里抱的身下压的都是你。,0,网络
U59,情话,情话/我就是你的干燥剂 等你湿了就干你。,0,网络
U60,情话,情话/喜欢和你一起种花、种草、种宝宝。,0,网络
U61,情话,情话/漫漫长夜，无心睡眠，我们来聊天吧!,0,网络
U62,情话,情话/我是个实际的人， 我相信日久生情。,0,网络
U63,情话,情话/大漠孤烟我好直， 长河落日你最圆。,0,网络
U64,情话,情话/我们浪漫点可以吗？你浪点，我慢点。,0,网络
U65,情话,情话/你主动点，我们不仅有故事还有孩子!,0,网络
U66,情话,情话/隔着屏幕都能闻到你蠢蠢欲动的荷尔蒙。,0,网络
U67,情话,情话/不许哭，连你都是我的，更别说眼泪了。,0,网络
U68,情话,情话/不用说什么，发一段呻吟声的语音就足够。,0,网络
U69,情话,情话/不用说什么，发一段呻吟声的语音就足够。,0,网络
U70,情话,情话/“我们去吃面吧”“什么面”“在你心里面”。,0,网络
U71,情话,情话/做爱时希望一生年少，拥抱时渴望瞬间变老。,0,网络
U72,情话,情话/从前有个人丁丁很短，于是他去学了拉丁舞。,0,网络
U73,情话,情话/喝醉酒是一件很色情的事，因为满脑子都是你。,0,网络
U74,情话,情话/单身久了，路上看到一头母猪都觉得眉清目秀。,0,网络
U75,情话,情话/你就是我的专属VIP通道，只有我才能进去活动。,0,网络
U76,情话,情话/“我贪恋的人间烟火”，“不偏不倚”，“恰好就是你”,0,网络
U77,情话,情话/“有人追你吗？”、“没有呀”“你好，我就叫没有呀”,0,网络
U78,情话,情话/“你太坏了！”“我中了你的毒”“那请你改邪归我哈”,0,网络
U79,情话,"情话/“你最近是不是又胖了？”
“没有啊，为什么这么说？”
“那为什么，你在我心里的分量越来越重了？”",0,网络
U80,情话,"情话/“我觉得你这个人不适合谈恋爱”
“为什么？”
“适合结婚。”",0,网络
U81,情话,"情话/ “猜猜我的心在哪边？”
“左边？”
“错了，在你那边。”",0,网络
U82,情话,"情话/“你闻到什么味道了吗？
“没有啊？”
“怎么你一出来空气都是甜的了。”",0,网络
U83,情话,"情话/“我想买一块地。”
“什么地？”
“你的死心塌地。”",0,网络
U84,情话,"情话/“你累不累啊？”
“不累。”
“可是你都在我脑里跑了一天了。”",0,网络
U85,情话,"情话/“你能不能闭嘴？”
“我没有说话啊。”
“那为什么我满脑子都是你的声音。”",0,网络
U86,情话,"情话/“你知道我为什么感冒了吗？”
“因为着凉了？”
“不，因为我对你完全没有抵抗力。”",0,网络
