id,tag,value,copyCount,author
R1,杜蕾斯,杜蕾斯/独一份的时尚：我这么一个人，哪懂什么时尚，留过时的发型，唱过时的歌，跳过时的舞，穿过时的衣服。我这么一个人，为了时尚的你，通红着脸，学了几个时兴的姿势。,0,网络
R2,杜蕾斯,杜蕾斯/镜子：5769早上我照镜子时突然有点害羞，觉得它什么都看见了。,0,网络
R3,杜蕾斯,杜蕾斯/暂停：光洒进暖流，花开在枝上，春光正好，我把我种在你身体里然后一起进时间的裙皱里。,0,网络
R4,杜蕾斯,杜蕾斯/浸泡：南方的阳台，是个残酷的地方，过年没吃完的鱼干还在晒至少要花一个小时才能泡开。正午我从那里路过，想起身体某一处的柔软，是遇见你这样的阳光，才硬朗了起来。,0,网络
R5,杜蕾斯,杜蕾斯/站稳扶好：地铁指示标写：站稳扶好。今晚，我也打算这样提醒你。,0,网络
R6,杜蕾斯,杜蕾斯/后梅：含了一个吻出门，误以为那是风的味道。春天真好啊，我那没能续下去的吻，配不上今早的春天。,0,网络
R7,杜蕾斯,杜蕾斯/发送图片：我熟练掌握现代人必备的修图技能：磨皮、美白、祛斑、祛痘、瘦脸、瘦身、拉长、选择滤镜依次进行。人呢，即使赤身裸体，也想显得美丽一点，这没有什么错。,0,网络
R8,杜蕾斯,杜蕾斯/口哨：风，为春关吹静音的口，我，想给你吹亮的那种。,0,网络
R9,杜蕾斯,杜蕾斯/单身男士的生长：迎春花、樱花、桃花、牡丹花，显而易见的生长开显而易见的花我们单身男士如果生长，你不知道会遇见哪朵花，令人期待的春天呀。,0,网络
R10,杜蕾斯,杜蕾斯/窃窃私语：到处都是胶耳交谈的人，我和你应当只胶耳，不交谈。像一颗石子沉默地沉入水底，沉默地感受你。,0,网络
R11,杜蕾斯,杜蕾斯/立起来：如果你不收拾书房，你知道我会恨它，书本在椅子上，椅子在地上，切无精打采。还好你昨晚把该立的都立了起来，包括我。,0,网络
R12,杜蕾斯,杜蕾斯/绿萝：像你，有水就能生长。,0,网络
R13,杜蕾斯,杜蕾斯/春天要做诚实的人：春天要减肥，能减一点是一点，幼的人才说，胖一圈，爱的你又多一圈。肉有肉的空间，能把占据的腾出来一点，爱你的空间才能多一点。运动又不难假如你不是非要采用那种方式。,0,网络
R14,杜蕾斯,杜蕾斯/滑落：间的露珠，从绿叶上滑落。滑过，不想滑落，我们是和它们反向的爱。,0,网络
R15,杜蕾斯,杜蕾斯/象声词：我的胆子小呀，只敢在心里想：要是能把每个收到的哈哈哈哈哈哈哈”都换成你的啊啊啊啊啊啊就好了。,0,网络
R16,杜蕾斯,杜蕾斯/时下流行的心事：如果我全，那也好了。如果我没秀，那也好了。偏偏你呀，是我半秀时的头发，想又不敢，想放弃又还在意。如今我走在风里，优心你，多过毛囊。,0,网络
R17,杜蕾斯,杜蕾斯/象限游戏：我180°地，你90°地坐，搭一架，只有一二象限的坐标系。,0,网络
R18,杜蕾斯,杜蕾斯/海边的小莉：小莉呀，你是否还住在海边我离家已多年，思来想去仍是你。半生费，不知归处。这都市繁华，夜雨也无情青春好时候，追着前途失去你。小莉呀，如今再难寻，那海浪声压过我们的夜，那你在耳边乡音的呢。,0,网络
R19,杜蕾斯,杜蕾斯/：理想方位虽说夜间一前一后，但永要比肩而行呀。,0,网络
R20,杜蕾斯,杜蕾斯/夜间9点30分：白天隐藏在入夜的灯，风进熟睡人的呼吸，芦是地底的云，你推窗望过来，孔是距我最近的星。,0,网络
R21,杜蕾斯,杜蕾斯/镜面爱情：两人就是两个，两人可以合为一人，尚若那时对着镜子站，我们就是完整的。若再架一面镜子，我们就是复杂的。,0,网络
R22,杜蕾斯,杜蕾斯/他要了花毛一体：微风，啤酒夜，几乎要拥吻的爱人，所有谈话里的间隙，叠起来，是一个吐司刚出炉时热切的横切面。,0,网络
R23,杜蕾斯,杜蕾斯/难为情：那天见你，为了表现得文明得体，只好弯着身体。,0,网络
R24,杜蕾斯,杜蕾斯/二手重逢：六月，咽喉的谷物主动成酒，语言被群鸟走，梦退化成超超，我就住在猫尾上，任你的手神平。,0,网络
R25,杜蕾斯,杜蕾斯/但不要爱我的刻薄：刻薄地爱我，连肚上的，也别放过。,0,网络
