id,tag,value,copyCount,author
S1,林黛玉,林黛玉/你瞧，又开始画饼了，我要是信了，怕是要哭断肠去了。,0,网络
S2,林黛玉,林黛玉/哥哥若觉得我无趣，明日又见旁人绝妙，真真让人伤了心。,0,网络
S3,林黛玉,林黛玉/横竖你有其他妹妹，比我会聊天比我会撒娇还会哄哥哥开心，你又和我说这些做什么。,0,网络
S4,林黛玉,林黛玉/我没这么大福气攀受，比不上别人什么嘘寒问暖的，我不过是草木人罢了。,0,网络
S5,林黛玉,"林黛玉/你大抵是倦了,竟回我这般敷衍。",0,网络
S6,林黛玉,"林黛玉/刚刚还在与我聊天，突然就消失不见 了,这么说来倒显得我斤斤计较了。如果我跟你斤斤计较倒是我的不是了, 我这心窝子，可比那数九寒天的冰渣子还冷。",0,网络
S7,林黛玉,林黛玉/哥哥现在连解释都没有了吗，瞧瞧，我不过是多说了几句，哥哥就这般模样说我。,0,网络
S8,林黛玉,林黛玉/我真傻，真的，我单知道哥哥与我是青梅竹马两小无猜，却忘了哥哥也是薄情之人。,0,网络
S9,林黛玉,林黛玉/昨日还说心上有我，今日却不懂我来。,0,网络
S10,林黛玉,林黛玉/是不是你的妹妹都分辨不出了，哥哥可真是字字句句都敲打在我的心上。,0,网络
S11,林黛玉,林黛玉/这聊天秒回是单给我一个人儿的，还是别的姑娘都有？,0,网络
S12,林黛玉,林黛玉/我知道你是信口胡诌，哄我哄我开心罢了。,0,网络
S13,林黛玉,林黛玉/哥哥要是这般态度，倒不如直接不理我的好，显得我无理取闹了些。,0,网络
S14,林黛玉,林黛玉/咱俩吵架还要跟别个讲倒显得我无理取闹，斤斤计较了。,0,网络
S15,林黛玉,林黛玉/等你回个消息，难为你费心了，哪里就等死我了呢。,0,网络
S16,林黛玉,林黛玉/刚刚还在与我聊天，突然就消失不见了，这么说来倒显得我斤斤计较了，我这心窝子，可比那数九寒天的冰渣子还冷,0,网络
S17,林黛玉,林黛玉/等你回个消息，难为你费心了，哪里就等死我了呢。,0,网络
S18,林黛玉,林黛玉/哥哥若觉得我无趣，明日又见旁人绝妙，真真让人伤了心。,0,网络
S19,林黛玉,林黛玉/横竖你有其他妹妹，比我会聊天比我会撒娇还会哄哥哥开心，你又和我说这些做什么。,0,网络
S20,林黛玉,林黛玉/如此说来倒是我的不是了，显得我斤斤计较，越发不如别的妹妹了。,0,网络
S21,林黛玉,林黛玉/你的关心，是独我一份的，还是他人都有的，若不是独我一分的，那这份关心不要也罢。,0,网络
S22,林黛玉,林黛玉/平日里我和你说的，全当耳旁风了怎么别人说了你就依，比圣旨还快。,0,网络
S23,林黛玉,林黛玉/我没这么大福气攀受，比不上别人什么嘘寒问暖的，我不过是草木人罢了。,0,网络
S24,林黛玉,林黛玉/你的那些姑娘们也该教训教训，只是我论理不该说。今儿得罪了我的事小，倘或明儿宝姑娘来，什么贝姑娘来，也得罪了，事情岂不大了。,0,网络
S25,林黛玉,林黛玉/我心里自是明白没有别的妹妹有趣，终究哥哥心里没有我。,0,网络
S26,林黛玉,林黛玉/昨日还说心上有我，今日却不懂我来。,0,网络
S27,林黛玉,林黛玉/我原以为我自是跟旁的不一样，想来是我自作主张了。,0,网络
S28,林黛玉,林黛玉/你也不用说，我很知道你心里有妹妹，但只是见了姐姐，就把‘妹妹’忘了。,0,网络
S29,林黛玉,林黛玉/瞧你忽冷忽热的样子，怎么，与我聊天是委屈你了？我就知道，别人不冷落你，也不会轮到我。,0,网络
S30,林黛玉,林黛玉/你瞧，又开始画饼了，我要是信了，怕是要哭断肠去了。,0,网络
S31,林黛玉,林黛玉/终究是熬到了下班时间也等不到哥哥的一句消息，怕不是今晚哥哥又要加班了？留妹妹独自一人暗自伤神。,0,网络
S32,林黛玉,林黛玉/哥哥要是这般态度，倒不如直接不理我的好，显得我无理取闹了些。,0,网络
S33,林黛玉,林黛玉/我知道你是信口胡诌，哄我开心罢了。,0,网络
S34,林黛玉,林黛玉/这怕不是又被哪位妹妹绊住了，竟如此不理人了。,0,网络
S35,林黛玉,林黛玉/瞧瞧，我不过就是多说几句，哥哥就这般模样。,0,网络
S36,林黛玉,林黛玉/哥哥算是有心了，竟还记得妹妹的喜好，如此妹妹便心满意足了。,0,网络
S37,林黛玉,林黛玉/你这倒是显的我的不是了，可不要在心上给我画上一笔，不然我这心窝子可要难受了。,0,网络
S38,林黛玉,林黛玉/也不知昨晚和哪个妹妹欢愉去了。,0,网络
S39,林黛玉,林黛玉/你也不用同我好一阵歹一阵的，要恼就撂开了手，何必再这说这些话呢。,0,网络
S40,林黛玉,林黛玉/平日里念哥哥是个知己，但哥哥果然不单单是妹妹一个人的知己，想起昨个儿不是妹妹多疑，怕是早就被哥哥嫌弃了，不如其他妹妹生得俊俏，也终究是贫嘴讨人嫌罢了。,0,网络
S41,林黛玉,林黛玉/你大抵是倦了，竟回我这般敷衍。,0,网络
S42,林黛玉,林黛玉/这怕不是又被哪位妹妹绊住了，竟如此不理人了。,0,网络
S43,林黛玉,林黛玉/瞧瞧，我不过就是多说几句，哥哥就这般模样，算了算了，是我多嘴了。,0,网络
S44,林黛玉,林黛玉/倒是终究被哥哥嫌弃了，不像其她妹妹生的俊俏。,0,网络
S45,林黛玉,林黛玉/我大抵是熬不过这一天了，单单等你的消息就心烦。,0,网络
S46,林黛玉,林黛玉/你瞧，又开始画饼了，我要是信了，怕是要哭断肠去了。,0,网络
S47,林黛玉,林黛玉/我心里自是明白没有别的妹妹有趣，终究哥哥心里没有我。,0,网络
S48,林黛玉,林黛玉/罢了罢了，哥哥平日里也就这么洒脱，是妹妹小家子气了。,0,网络
S49,林黛玉,林黛玉/哥哥若觉得我无趣，明日又见旁人绝妙，真真让人伤了心。,0,网络
S50,林黛玉,林黛玉/哥哥要是这般态度，倒不如直接不理我的好，显得我无理取闹了些。,0,网络
S51,林黛玉,林黛玉/如此说来倒是我的不是了，显得我斤斤计较，越发不如别的妹妹了。,0,网络
S52,林黛玉,林黛玉/平日里我和你说的，全当耳旁风了怎么别人说了你就依，比圣旨还快。,0,网络
S53,林黛玉,林黛玉/你也不用同我好一阵歹一阵的，要恼就撂开了手，何必再这说这些话呢。,0,网络
S54,林黛玉,林黛玉/哥哥现在连解释都没有了吗，瞧瞧，我不过是多说了几句，哥哥就这般模样说我。,0,网络
S55,林黛玉,林黛玉/你这倒是显的我的不是了，可不要在心上给我画上一笔，不然我这心窝子可要难受了。,0,网络
S56,林黛玉,林黛玉/横竖你有其他妹妹，比我会聊天比我会撒娇还会哄哥哥开心，你又和我说这些做什么。,0,网络
S57,林黛玉,林黛玉/你的关心，是独我一份的，还是他人都有的，若不是独我一分的，那这份关心不要也罢。,0,网络
S58,林黛玉,林黛玉/瞧你忽冷忽热的样子，怎么，与我聊天是委屈你了？我就知道，别人不冷落你，也不会轮到我。,0,网络
S59,林黛玉,林黛玉/呦，这会子连跪累了，方想起我来了，我就知道，要不是队友下线了，哪想到我这个薄命苦心人儿。,0,网络
S60,林黛玉,林黛玉/哥哥说的可当真，你说的这些，可莫要忘了，若是今日寻我开心，他日便忘了去，可真真的使我平白伤心了。,0,网络
S61,林黛玉,林黛玉/终究是熬到了下班时间也等不到哥哥的一句消息，怕不是今晚哥哥又要加班了？留妹妹独自一人暗自伤神。,0,网络
S62,林黛玉,林黛玉/刚刚还在与我聊天，突然就消失不见了，这么说来倒显得我斤斤计较了，我这心窝子，可比那数九寒天的冰渣子还冷。,0,网络
S63,林黛玉,林黛玉/我只想着做哥哥的女朋友，总要调些脂粉，好让哥哥面上增光，谁成想哥哥竟不领情，还怪我梳妆太迟，真真是痛杀妹妹了。,0,网络
S64,林黛玉,林黛玉/你的那些姑娘们也该教训教训，只是我论理不该说。今儿得罪了我的事小，倘或明儿宝姑娘来，什么贝姑娘来，也得罪了，事情岂不大了。,0,网络
S65,林黛玉,林黛玉/往日里哥哥总是忙里偷闲的来敷衍我 ，谁成想今儿起了个大早，网也不上了，球也不打了，巴巴的凑了过来，谁知道是不是看多了别的妹妹，心里发虚呢。,0,网络
S66,林黛玉,林黛玉/我说了，亏得在游戏那绊住了，不然早飞来了，你要玩便痛快玩吧，何苦来招惹我，到时候输了游戏倒显得是我的不是了，难为你费心，哪里就冷落死我了呢。,0,网络
S67,林黛玉,林黛玉/难为妹妹费心，生怕我平日太无趣，总想着法子让我热闹热闹，可今日这人这般多，倒让我觉得有些许不自在起来，妹妹自个在这好生玩着，姐姐就不凑这热闹了。,0,网络
S68,林黛玉,林黛玉/平日里念哥哥是个知己，但哥哥果然不单单是妹妹一个人的知己，想起昨个儿不是妹妹多疑，怕是早就被哥哥嫌弃了，不如其他妹妹生得俊俏，也终究是贫嘴讨人嫌罢了。,0,网络
S69,林黛玉,林黛玉/你大抵是倦了，竟回我这般敷衍。,0,网络
S70,林黛玉,林黛玉/这怕不是又被哪位妹妹绊住了，竟如此不理人了。,0,网络
S71,林黛玉,林黛玉/瞧瞧，我不过就是多说几句，哥哥就这般模样，算了算了，是我多嘴了。,0,网络
S72,林黛玉,林黛玉/倒是终究被哥哥嫌弃了，不像其她妹妹生的俊俏。,0,网络
S73,林黛玉,林黛玉/我大抵是熬不过这一天了，单单等你的消息就心烦。,0,网络
S74,林黛玉,林黛玉/你瞧，又开始画饼了，我要是信了，怕是要哭断肠去了。,0,网络
S75,林黛玉,林黛玉/我心里自是明白没有别的妹妹有趣，终究哥哥心里没有我。,0,网络
S76,林黛玉,林黛玉/罢了罢了，哥哥平日里也就这么酒脱，是妹妹小家子气了。,0,网络
