id,tag,value,copyCount,author
V1,沙雕#废话,沙雕/这条鱼到死之前都是活的。,0,网络
V2,沙雕#废话,沙雕/我曾在极度愤怒的情况下极度愤怒！,0,网络
V3,沙雕#废话,沙雕/这个西红柿，有一股番茄味儿。,0,网络
V4,沙雕#废话,沙雕/你说的这话，抛开内容来说，我十分赞同。,0,网络
V5,沙雕#废话,沙雕/我前脚刚走，后脚就跟上了。,0,网络
V6,沙雕#废话,沙雕/但凡你有点本事，也不至于一点本事也没有哇。,0,网络
V7,沙雕#废话,沙雕/剥开香蕉后，你会发现一个剥了皮的香蕉。,0,网络
V8,沙雕#废话,沙雕/把肥牛切成厚厚的薄片。,0,网络
V9,沙雕#废话,沙雕/听君一席话，如听一席话。,0,网络
V10,沙雕#废话,沙雕/如果他要坐十年牢，那他十年内都出不来了。,0,网络
V11,沙雕#废话,沙雕/你跟我搁这儿搁这儿呢.,0,网络
V12,沙雕#废话,沙雕/但凡你这话说的沾边点儿，也不至于一点不沾边。,0,网络
V13,沙雕#废话,沙雕/你要是不丑，还挺好看的。,0,网络
V14,沙雕#废话,沙雕/上次看到这么无语的话，还是在上次。,0,网络
V15,沙雕#废话,沙雕/七天不见，如隔一周。,0,网络
V16,沙雕#废话,沙雕/现在的年轻人和老一辈比起来真的年轻。,0,网络
V17,沙雕#废话,沙雕/死者没受伤吧？,0,网络
V18,沙雕#废话,沙雕/人在绷不住的时候，是绷不住的。,0,网络
V19,沙雕#废话,沙雕/台上一分钟，台下六十秒。,0,网络
V20,沙雕#废话,沙雕/如果我没猜错的话，那我一定是猜对了。,0,网络
V21,沙雕#废话,沙雕/吃面不吃蒜，等于没吃蒜。,0,网络
V22,沙雕#废话,沙雕/每次我不知道该说什么的时候就不知道该说什么。,0,网络
V23,沙雕#废话,沙雕/关于明天的事儿，明天就知道了。,0,网络
V24,沙雕#废话,沙雕/我走路的时候如同在走路。,0,网络
V25,沙雕#废话,沙雕/我记得小时候好像是小时候的事儿。,0,网络
V26,沙雕#废话,沙雕/如果你吃饱了，那你就不饿了。,0,网络
V27,沙雕#废话,沙雕/人被杀就会死。,0,网络
V28,沙雕#废话,沙雕/调查显示，人一生只会被生下来一次。,0,网络
V29,沙雕#废话,沙雕/现在醒着的人，应该都还没睡吧。,0,网络
V30,沙雕#废话,沙雕/蝉的翅膀有多薄？薄如蝉翼。,0,网络
V31,沙雕#废话,沙雕/你如果要是长得白点儿的话，那就不黑了。,0,网络
V32,沙雕#废话,沙雕/我不菜的时候还是挺厉害的。,0,网络
V33,沙雕#废话,沙雕/如果你从十楼跳下来，不出意外的话，那应该是出意外了。,0,网络
V34,沙雕#废话,沙雕/越聪明的人脑子就越聪明。,0,网络
V35,沙雕#废话,沙雕/我之前还没发现，当我发现的时候我已经发现了。,0,网络
V36,沙雕#废话,沙雕/万里无云的天空中竟然没有一片云。,0,网络
V37,沙雕#废话,沙雕/你一定行的！除非不行。,0,网络
V38,沙雕#废话,沙雕/如果我有男朋友那么这句话就不用加如果两个字。,0,网络
V39,沙雕#废话,沙雕/如果你从十楼跳下去，不出意外的话，应该是出意外了。,0,网络
V40,沙雕#废话,"沙雕/三人行，必有三人。
情况就是这么个情况，具体什么情况，还得看情况。",0,网络
V41,沙雕#废话,沙雕/年轻人，不要太年轻。,0,网络
V42,沙雕#废话,沙雕/但凡这句话有一点用的话也不至于一点用没有。,0,网络
V43,沙雕#废话,"沙雕/唉,有句话不知当讲不当讲,我就不讲了。",0,网络
V44,沙雕#废话,沙雕/劝大家别买iPhone13这样就省下了好几千，然后拿省下来的几千块去买iPhone13，这就相当于白捡了一部iPhone13,0,网络
V45,沙雕#废话,"沙雕/运气这东西,全靠运气。",0,网络
V46,沙雕#废话,"沙雕/如果你是我姐妹的话,我们就是姐妹。 人每呼吸六十秒,生命就会减少一分钟。",0,网络
V47,沙雕#废话,"沙雕/谁能想到当我还是一个孩子的时候,我还只是一个孩子。",0,网络
V48,沙雕#废话,沙雕/我上次这么无语的时候还是在上次。,0,网络
V49,沙雕#废话,"沙雕/蝉的翅膀好薄啊,薄如蝉翼。",0,网络
V50,沙雕#废话,沙雕/死者没有受伤吧。,0,网络
V51,沙雕#废话,"沙雕/作为一个过来人,我已经过来了。",0,网络
V52,沙雕#废话,"沙雕/十年磨一剑,五年磨半剑。",0,网络
V53,沙雕#废话,"沙雕/你花了多少分钟看这些文字,就浪费了多少分钟。",0,网络
V54,沙雕#废话,沙雕/血崩的时候，没有一片雪花是不崩的。,0,网络
V55,沙雕#废话,沙雕/一觉醒来后发现我一觉醒来了。,0,网络
V56,沙雕#废话,沙雕/你瘦下来一定很瘦。,0,网络
V57,沙雕#废话,沙雕/它死之前还是活着的。,0,网络
V58,沙雕#废话,沙雕/俗话说的好:俗话说的好。,0,网络
V59,沙雕#废话,沙雕/能力越大，能力就越大。,0,网络
V60,沙雕#废话,沙雕/据我所知我一无所知。,0,网络
V61,沙雕#废话,"沙雕/床前明月光,疑是明月光。",0,网络
V62,沙雕#废话,"沙雕/回想起昨天,仿佛在昨天。",0,网络
V63,沙雕#废话,"沙雕/你这说的,跟说话一样。",0,网络
V64,沙雕#废话,沙雕/晨跑十公里就等于跑了十公里。,0,网络
V65,沙雕#废话,沙雕/我一定能活到死。,0,网络
V66,沙雕#废话,"沙雕/如果你越过了喜马拉雅山,
你就具备了越过喜马拉雅山的能力。",0,网络
V67,沙雕#废话,"沙雕/现在的年轻人啊,
和老一辈人比起来真的年轻。",0,网络
V68,沙雕#废话,沙雕/恭喜你被我恭喜了!,0,网络
V69,沙雕#废话,沙雕/医生摸着我的肚子问我这里有什么感觉吗?我说我感觉有人在摸我肚子。,0,网络
V70,沙雕#废话,"沙雕/我长话短说,但是说来话长。",0,网络
V71,沙雕#废话,"沙雕/听了你的分析,我决定再分析分析。",0,网络
V72,沙雕#废话,"沙雕/记是记得住,就是想不起来了。",0,网络
V73,沙雕#废话,沙雕/我三句话就让男人听了我说三句话。,0,网络
V74,沙雕#废话,"沙雕/整个好活,就是有点烂。",0,网络
V75,沙雕#废话,沙雕/地球自转一周等于自转7天。,0,网络
V76,沙雕#废话,"沙雕/你为什么不回我消息?
就因为我没给你发消息?",0,网络
V77,沙雕#废话,"沙雕/走出半生,归来已过半生。",0,网络
V78,沙雕#废话,"沙雕/香蕉越大,香蕉皮就越大。",0,网络
V79,沙雕#废话,沙雕/我妈生我的那天正好是我的生日。,0,网络
V80,沙雕#废话,沙雕/你妈一定是怀孕了才把你生下来的。,0,网络
V81,沙雕#废话,沙雕/空腹不能吃饭，否则会饱。,0,网络
V82,沙雕#废话,沙雕/关于明天的事我们后天就知道了。,0,网络
V83,沙雕#废话,沙雕/只能赢，别不能赢。,0,网络
V84,沙雕#废话,沙雕/天若有情天有情，人间正道是正道。,0,网络
V85,沙雕#废话,沙雕/好是好，就是有点烂。,0,网络
V86,沙雕#废话,"沙雕/我第一次去美国的时候惊呆了，
我从来没在一个国家里见到那么多美国人。",0,网络
V87,沙雕#废话,沙雕/这手跟巴掌一样大。,0,网络
V88,沙雕#废话,沙雕/有空的时候自然有空了。,0,网络
V89,沙雕#废话,沙雕/你知道吗，猕猴桃有股奇异果的味道呢！,0,网络
V90,沙雕#废话,沙雕/众所周知，观众们肯定众所周知。,0,网络
V91,沙雕#废话,沙雕/但凡你进步一点，都不至于一点进步都没有。,0,网络
V92,沙雕#废话,沙雕/如果你能看见东西的话说明你不瞎。,0,网络
V93,沙雕#废话,沙雕/快看，前面那个人，他好像一个人。,0,网络
V94,沙雕#废话,沙雕/据统计，人生前都呼吸过空气。,0,网络
V95,沙雕#废话,沙雕/我发现，我妈妈竟然和我爸爸是同一天结婚的。,0,网络
V96,沙雕#废话,沙雕/没有对象的人，应该还是单身吧。,0,网络
V97,沙雕#废话,沙雕/你这份恩情，在我忘记之前一定会记得的。,0,网络
V98,沙雕#废话,沙雕/你的语文老师是教你语文的吧。,0,网络
V99,沙雕#废话,沙雕/未成年人都不满18岁。,0,网络
V100,沙雕#废话,沙雕/你有病的样子好像没治好一样,0,网络
V101,沙雕#废话,"沙雕/我会炒三道菜,
一道炒西红柿,
一道炒番茄,
还有一道西红柿炒番茄。",0,网络
V102,沙雕#废话,沙雕/发现长的好看的女生都很漂亮。,0,网络
V103,沙雕#废话,沙雕/如果我看得懂的话就不会看不懂了,0,网络
V104,沙雕#废话,"沙雕/借口是好借口,但就是借口。",0,网络
V105,沙雕#废话,"沙雕/你知道我为什么穷吗,因为没钱。",0,网络
V106,沙雕#废话,沙雕/好吃的东西都特别好吃。,0,网络
