id,tag,value,copyCount,author
W1,沙雕#有趣,沙雕#有趣/就算失败了九十九次也要在努力一次，凑够整数。,0,网络
W2,沙雕#有趣,沙雕#有趣/跟着大哥混三天饿九顿。,0,网络
W3,沙雕#有趣,沙雕#有趣/晚上睡不着，对着空气挥两拳，不为什么就为了干这个世界。,0,网络
W4,沙雕#有趣,沙雕#有趣/你会不会秃然出现，在街边的植发店里。,0,网络
W5,沙雕#有趣,沙雕#有趣/谈恋爱，不就是为了图个伤心，图个难过吗？,0,网络
W6,沙雕#有趣,沙雕#有趣/梦想还是要有的，不然那天喝多了你和人家聊啥？,0,网络
W7,沙雕#有趣,沙雕#有趣/皮卡丘站起来就变成了比卡兵。,0,网络
W8,沙雕#有趣,沙雕#有趣/请问你是秋高吗？我都被你气爽了。,0,网络
W9,沙雕#有趣,沙雕#有趣/小时候最喜欢玩捉迷藏了，等别人藏好了我就回家吃饭了。,0,网络
W10,沙雕#有趣,沙雕#有趣/你一定要好好地和他走下去，我坐车。,0,网络
W11,沙雕#有趣,沙雕#有趣/正义都能迟到，为什么我不能多睡十分钟？,0,网络
W12,沙雕#有趣,沙雕#有趣/天下没有不透风的墙，隔壁的晚饭是真的香。,0,网络
W13,沙雕#有趣,沙雕#有趣/晚上好，不好也行！随便你。,0,网络
W14,沙雕#有趣,沙雕#有趣/睡前一定要吃宵夜，不然会做饿梦的。,0,网络
W15,沙雕#有趣,沙雕#有趣/有些人一旦错过，我特么谢天谢地谢广坤。,0,网络
W16,沙雕#有趣,沙雕#有趣/生活已经开始对我这只小猪放卤水了。,0,网络
W17,沙雕#有趣,沙雕#有趣/你的脖子真可爱，上面顶着猪脑袋。,0,网络
W18,沙雕#有趣,沙雕#有趣/好好生活，反正该死的一个都不会少。,0,网络
W19,沙雕#有趣,沙雕#有趣/想给我的赘肉下最后通牒。,0,网络
W20,沙雕#有趣,沙雕#有趣/别的女孩都只是想撒娇，而我只想和你单挑。,0,网络
W21,沙雕#有趣,沙雕#有趣/今天风挺大的，本来想去健身房，没想到给我吹奶茶店来了。,0,网络
W22,沙雕#有趣,沙雕#有趣/有了马甲线我就会从小熊软糖，变成了小熊硬糖了，所以我不会练的。,0,网络
W23,沙雕#有趣,沙雕#有趣/做人不要太攀比，要比就比谁早起。,0,网络
W24,沙雕#有趣,沙雕#有趣/又拒绝了三个男生，我真是一个优秀的女孩，看着他们离去的背影，有点落寞，我只能默默地说声抱歉，你们的这个楼盘、报销、理财产品我真的买不起。,0,网络
W25,沙雕#有趣,沙雕#有趣/刚刚称了一下体重，发现瘦了十斤，仔细想想，哦！原来是易烊千玺送我的钻戒没带。,0,网络
W26,沙雕#有趣,沙雕#有趣/最近老听到神秘的叮当声，经走进科学节目组调查，原来是我穷得叮当响，呜呜～,0,网络
W27,沙雕#有趣,沙雕#有趣/想我就说，让我打喷嚏算什么本事。,0,网络
W28,沙雕#有趣,沙雕#有趣/今天有点不开心，虽然不是你造成的，但是你能不能给我道个歉？,0,网络
W29,沙雕#有趣,沙雕#有趣/每天喝八杯水很难，但是喝八杯奶茶只需要你一句“我请你”就很容易了。,0,网络
W30,沙雕#有趣,沙雕#有趣/喝酒吗？同归于尽的那种。,0,网络
W31,沙雕#有趣,沙雕#有趣/尊敬的用户，您已订阅我的朋友圈，10元/月，100元/年。回复“我爱你”可退订。,0,网络
W32,沙雕#有趣,沙雕#有趣/智者不入爱河，可我是个糊涂蛋。,0,网络
W33,沙雕#有趣,沙雕#有趣/我长得这么好看，都怪我父母，因为他们给了我一张这个胡说八道的嘴。,0,网络
W34,沙雕#有趣,沙雕#有趣/我要自杀，让这个世界没有美女（帅哥）。,0,网络
W35,沙雕#有趣,沙雕#有趣/欢迎光临我的开心。,0,网络
W36,沙雕#有趣,沙雕#有趣/世界上原本没有公主，直到我出现了。,0,网络
W37,沙雕#有趣,沙雕#有趣/我洗了个头掉了，很多头发但是我不伤心，因为我还有一个头，而我的头上啥也没有。,0,网络
W38,沙雕#有趣,沙雕#有趣/有个很可爱的人，正在读我写的字。,0,网络
W39,沙雕#有趣,沙雕#有趣/今天的胃是128G的。,0,网络
W40,沙雕#有趣,沙雕#有趣/只要我坚持不发朋友圈，我就会成为明星，我叫0更新。,0,网络
W41,沙雕#有趣,沙雕#有趣/我不喜欢去银行，就好像太监不喜欢去妓院一样，有些东西你没有，去了也是难受。,0,网络
W42,沙雕#有趣,沙雕#有趣/刷到这条朋友圈的人，三天内必定找到对象，不灵你回来找我，我给你一锤，不争气的玩意。,0,网络
W43,沙雕#有趣,沙雕#有趣/不发朋友圈了，思念的滋味你们自己体会。,0,网络
W44,沙雕#有趣,沙雕#有趣/原本我以为我是全世界最美的女人，直到遇到了刘亦菲，我才知道原来是我们两。,0,网络
W45,沙雕#有趣,沙雕#有趣/别的女孩解衣服，是轻解罗裳，而我换衣服是给小猪猪松绑。,0,网络
W46,沙雕#有趣,沙雕#有趣/高价出售本人脑子，没有用过有意者私聊。,0,网络
W47,沙雕#有趣,沙雕#有趣/如果全世界都不要你了，记得来找我。我认识好几个人贩子。,0,网络
W48,沙雕#有趣,沙雕#有趣/发财和发朋友圈，我总要发一个吧。,0,网络
W49,沙雕#有趣,沙雕#有趣/美女说话只说一半，不知道为。,0,网络
W50,沙雕#有趣,沙雕#有趣/经常熬夜的人会，1:产生幻觉 3:记忆力差 5:不识数 7:神志不清。这九点大家要记住。,0,网络
W51,沙雕#有趣,沙雕#有趣/发，朋，友，圈，加，逗，号，可，以让，人，读，得，很，慢，很，慢。,0,网络
W52,沙雕#有趣,沙雕#有趣/今晚拯救地球，有事留言。,0,网络
W53,沙雕#有趣,沙雕#有趣/我可能会迟到，但一定不会缺席。,0,网络
W54,沙雕#有趣,沙雕#有趣/骂我可以，但动手、请打我朋友。,0,网络
W55,沙雕#有趣,沙雕#有趣/独自走过苍苍莽莽，与你同行才有了光。,0,网络
W56,沙雕#有趣,沙雕#有趣/我不怕她谈恋爱，因为她谈多少个对象都是我重要，我也不怕她认识其他女孩子，因为二选一还是会选我。,0,网络
W57,沙雕#有趣,沙雕#有趣/有福同享，有肉你长。,0,网络
W58,沙雕#有趣,沙雕#有趣/现在一起看帅哥，老了一起看夕阳。,0,网络
W59,沙雕#有趣,沙雕#有趣/你在我心里是患得患失的知己，而我在你心里应该是可遇不可求的沙雕。男人可能靠不住，但我闺蜜一定能。,0,网络
W60,沙雕#有趣,沙雕#有趣/不管多久没见面，我们彼此都还是老样子，脾气差，说话大声，不注意仪表，可是永远笑的那么开心。,0,网络
W61,沙雕#有趣,沙雕#有趣/我一直觉得我是世界上最漂亮的女孩，认识你以后才发现，原来是我们两。,0,网络
W62,沙雕#有趣,沙雕#有趣/下午喝了一杯很好喝的果汁，一看名字原来是香妮乐铁汁。,0,网络
W63,沙雕#有趣,沙雕#有趣/朋友就是全世界都觉得你在小题大做的时候，只有他明白你为什么歇斯底里。,0,网络
W64,沙雕#有趣,沙雕#有趣/所幸你们的关照来得比让我猝不及防的冬天更加及时。想说的话很多，却怪语言太单薄不能尽意，又怕说多了，话就变薄了。总而言之，是我的幸运。,0,网络
W65,沙雕#有趣,沙雕#有趣/见山是山，见水是水，见你就是全世界。,0,网络
W66,沙雕#有趣,沙雕#有趣/闺蜜就是，我比所有人爱她，却又期待有人比我更爱她。,0,网络
W67,沙雕#有趣,沙雕#有趣/爱你的人，东南西北都顺路。,0,网络
W68,沙雕#有趣,沙雕#有趣/一起变富婆，变成可爱老太婆。久违又如初，亲切又新鲜。,0,网络
W69,沙雕#有趣,沙雕#有趣/陪你奇奇怪怪，懂你可可爱爱。,0,网络
W70,沙雕#有趣,沙雕#有趣/想和你做彼此心事的靠山，想和你永远好奇又贪玩。,0,网络
W71,沙雕#有趣,沙雕#有趣/知己一二胜过泛泛之交。和有趣的人一起浪费人生。,0,网络
W72,沙雕#有趣,沙雕#有趣/你什么都不用做，你只是站在那里就足以让我想要一直对你好。,0,网络
W73,沙雕#有趣,沙雕#有趣/以前一直以为自己是全世界最美的女人，直到我遇到了刘亦菲才发现原来是我们俩。,0,网络
W74,沙雕#有趣,沙雕#有趣/今天的我你爱理不理，明天的我你还爱理不理，不是你这人咋这么没礼貌呢?,0,网络
W75,沙雕#有趣,沙雕#有趣/判断一个男孩的品味好坏，就跟他谈恋爱，如果他不肯，说明品味还可以。,0,网络
W76,沙雕#有趣,沙雕#有趣/别的女孩换衣服：轻解罗裳；我换衣服：给猪松绑。,0,网络
W77,沙雕#有趣,沙雕#有趣/高价出售本人脑子没有用过有意者私。,0,网络
W78,沙雕#有趣,沙雕#有趣/如果全世界都不要你了，记得来找我，我认识好几个人贩子。,0,网络
W79,沙雕#有趣,沙雕#有趣/我不会随便喜欢一个男生，你是第5744个。,0,网络
W80,沙雕#有趣,沙雕#有趣/美籍华人算什么，我可是华籍美人。,0,网络
W81,沙雕#有趣,沙雕#有趣/不要以为自己有几分姿色就了不起，你们这种男孩子，我见一个爱一个。,0,网络
W82,沙雕#有趣,沙雕#有趣/美女说话只说一半，不知道为。,0,网络
W83,沙雕#有趣,沙雕#有趣/我觉得我挺会哄男孩子睡觉的，一句在吗他们就说要睡了。,0,网络
W84,沙雕#有趣,沙雕#有趣/如果我不见了，你们会找我吗，哪怕只是问一句，易烊千玺女朋友去哪了？,0,网络
W85,沙雕#有趣,沙雕#有趣/经常熬夜的人会：1、产生幻觉；2、记忆力差；4、不识数；6、神志不清。就这九点大家要记住了。,0,网络
W86,沙雕#有趣,沙雕#有趣/今天有点烦，但不知道怎么形容，我暂且称它为公主的烦恼。,0,网络
W87,沙雕#有趣,沙雕#有趣/你家真穷，我说去你家玩，你说没门。,0,网络
W88,沙雕#有趣,沙雕#有趣/世界上有两种最可爱。一种是记性差的，第二种我给忘了。,0,网络
