id,tag,value,copyCount,author
N1,游戏,游戏/时间的意义取决于人类：千年如一日，一日复千年。,0,网络
N2,游戏,游戏/我曾踏足山巅，也曾进入低谷，二者都让我受益良多！,0,网络
N3,游戏,游戏/人与人在偶然之中创造相遇与别离。,0,网络
N4,游戏,"游戏/Now,we are one！！",0,网络
N5,游戏,游戏/真正的恐怖，存在于约定俗成的恐怖之外。,0,网络
N6,游戏,游戏/虽有遗憾，并无后悔。,0,网络
N7,游戏,游戏/输给谁都可以，唯独不能输给自己。,0,网络
N8,游戏,游戏/龙真的是从人们的愿望和想法中诞生的吗？,0,网络
N9,游戏,游戏/瞬光斩黯黮，昭明破晦夜。,0,网络
N10,游戏,游戏/谎言不一定是谎言，被发现的谎言，才算是谎言。,0,网络
N11,游戏,游戏/沉默——真正猎手的选择。,0,网络
N12,游戏,游戏/我曾经也许是个好人，但现在，我只是个士兵。,0,网络
N13,游戏,游戏/最后，我终于解放了我自己……,0,网络
N14,游戏,游戏/时代变了，但有些事情可还没变呢，大人。,0,网络
N15,游戏,游戏/荣誉之于生死，救赎之于荣誉,0,网络
N16,游戏,游戏/长城之上，是千亿的星空，星空之上，是不灭的守望。,0,网络
N17,游戏,游戏/这个世界需要更多的英雄！,0,网络
N18,游戏,"游戏/Now,we are one！！",0,网络
N19,游戏,"游戏/颤抖吧,凡人！",0,网络
N20,游戏,游戏/瞬光斩黯黮，昭明破晦夜。,0,网络
N21,游戏,游戏/输给谁都可以，唯独不能输给自己。,0,网络
N22,游戏,游戏/到底该怎么做，你才会重新喜欢我呢？,0,网络
N23,游戏,游戏/如果我贏了，你就是我的人了,0,网络
N24,游戏,游戏/输给谁都可以，唯独不能输给自己。,0,网络
N25,游戏,游戏/地上的光催我妒意，吹拂的风催我妒意。,0,网络
N26,游戏,游戏/纵使疾风起，皇族不言弃。,0,网络
N27,游戏,游戏/猎人永不孤单。,0,网络
N28,游戏,游戏/My life for aiur!,0,网络
N29,游戏,游戏/从一开始，我就不那么喜欢你。,0,网络
N30,游戏,游戏/如果我贏了，你就是我的人了,0,网络
N31,游戏,游戏/工程穷三代，考古毁一生。,0,网络
N32,游戏,游戏/亲爱的，你的心在哪里？,0,网络
N33,游戏,游戏/“沙漠，扬起你的沙砾，遮蔽太阳的光芒吧！！”,0,网络
N34,游戏,游戏/只要你还记得我，我就会一直在你的身边。,0,网络
N35,游戏,游戏/工程穷三代，考古毁一生。,0,网络
N36,游戏,游戏/真正的恐怖，存在于约定俗成的恐怖之外。,0,网络
N37,游戏,游戏/失去记忆的遗迹只是尊空壳。,0,网络
N38,游戏,游戏/如果我贏了，你就是我的人了,0,网络
N39,游戏,游戏/黄油嘴边讲，纯爱心中藏。废萌永不倒，甜作放光芒。,0,网络
N40,游戏,游戏/我想你一定很想知道，你昏迷了多长时间……,0,网络
N41,游戏,游戏/我……败……了……,0,网络
N42,游戏,游戏/虽有遗憾，并无后悔。,0,网络
N43,游戏,游戏/宇宙说：你所斗争的黑暗就在你心中，你所寻找的光明就在你心中。,0,网络
N44,游戏,游戏/纵使疾风起，皇族不言弃。,0,网络
N45,游戏,游戏/这个世界需要更多的英雄！,0,网络
N46,游戏,游戏/荣誉之于生死，救赎之于荣誉,0,网络
N47,游戏,游戏/那随风飘荡的蒲公英种子，会在什么时候决定自己的命运呢？,0,网络
N48,游戏,游戏/输给谁都可以，唯独不能输给自己。,0,网络
N49,游戏,游戏/乱世邯郸生祖龙，书文四方车轨同，青山秋草树丛从。,0,网络
N50,游戏,游戏/自己的痛苦别人无法理解。,0,网络
N51,游戏,游戏/我在人民的祈求下成为王后。没有民众，王后怎么能称得上王后呢？,0,网络
N52,游戏,游戏/最后，我终于解放了我自己……,0,网络
N53,游戏,游戏/勇气并非来自体力，而是来自不屈不挠的意志。,0,网络
N54,游戏,游戏/在凄惨的处境中回忆幸福，是世间最大的痛苦,0,网络
N55,游戏,游戏/输给谁都可以，唯独不能输给自己。,0,网络
N56,游戏,游戏/绚烂如繁樱，瞬息绽放后凋落。 花以香为证，曾美至惊心动魄。,0,网络
N57,游戏,游戏/怎么样，士道君，四糸乃很酷吧，四糸乃很酷吧,0,网络
N58,游戏,游戏/不管什么时候，能够改变世界的人都是一心追逐梦想的人。,0,网络
N59,游戏,游戏/不计代价，小子，活下去。,0,网络
N60,游戏,游戏/我觉得世界无聊，是因为我的世界本身已经足够有趣了,0,网络
N61,游戏,游戏/流淌的命运之河的终点，也许在这一刻就被决定好了。,0,网络
N62,游戏,游戏/或许人和人之间的缘分，都是注定的。,0,网络
N63,游戏,游戏/那随风飘荡的蒲公英种子，会在什么时候决定自己的命运呢？,0,网络
N64,游戏,游戏/这个人好弱啊，真的是我们的指挥使吗？,0,网络
N65,游戏,游戏/欢迎回家，Dr。,0,网络
