id,tag,value,copyCount,author
H1,精神语录,精神语录/起初，记下这些文字，是因为寂寞。,0,网络
H2,精神语录,精神语录/忽然之间，我也会长久地沉默，在那些没有特定的小情境里挑挑拣拣。太多未完成的事，像潮汐一样次第逼近。,0,网络
H3,精神语录,精神语录/当寂寞覆盖着寂寞，灵魂被巨大的虚无所贯穿。我想这就是宿命。无论心里有多么难以承受的痛苦的悲鸣，我们都该学会面无表情地书写岁月，埋葬青春，深入那些尚不可知的幽暗的洞穴，挖掘苍白的光的碎片，之后一起旅行。“所有的人，都在不可思议地走向远方”。一路走过的就是我们的人生,0,网络
H4,精神语录,精神语录/猛虎下山苍龙啸，小老弟你别太傲,0,网络
H5,精神语录,精神语录/70世上人有千千万，你若不爱那就换,0,网络
H6,精神语录,精神语录/现在的小伙装社会 小姑娘她装太妹 喝点酒她如痴如醉 你给我装鸡毛黑社会,0,网络
H7,精神语录,精神语录/鬼饿敢拦路，虎饿他敢吃人，鱼饿他敢跳门 这人饿，丧尽人伦。,0,网络
H8,精神语录,精神语录/我陪你闹呢你就得笑我给你脸呢你就得要,0,网络
H9,精神语录,精神语录/日落西山你不陪，待我辉煌你是谁,0,网络
H10,精神语录,精神语录/我不指望谁能在我困难的时候雪中送炭，你的寒王我只想告诉你们，少做恶事多行善,0,网络
H11,精神语录,精神语录/我见过她所有的样子，我只想要看看她不属于我的样子！,0,网络
H12,精神语录,精神语录/刀不锋利马太瘦，我还不想和你斗,0,网络
H13,精神语录,精神语录/请清醒地生活，请珍视彼此，请拒绝繁华中的苦痛，请享受孤独中的幸福。,0,网络
H14,精神语录,精神语录/做人是该傲，但是给你脸，你得要把。,0,网络
H15,精神语录,精神语录/社交之所以累，是因为都想表现出自己其实并不具备的素质。,0,网络
H16,精神语录,精神语录/刀不锋利马太瘦，我还不想和你斗,0,网络
H17,精神语录,精神语录/正义通常迟到，但早晚会到。,0,网络
H18,精神语录,精神语录/铁子，刀不锋利马太瘦，我还不想和你斗。,0,网络
H19,精神语录,精神语录/真诚，是一个人的本性；善良，是一个人的天性。美丽的外表也许会打动别人，但真诚的内心更能感动别人；强势的语气也许会让人口服，但善良的行动更会让人心服。,0,网络
H20,精神语录,精神语录/天生一身傲骨，你别在你寒哥面前摆谱。,0,网络
