id,tag,value,copyCount,author
A1,网易云,网易云/每一个不懂爱旳人，都会遇到一个懂爱的人，然后经历一场撕心裂肺旳爱情。不懂爱的人慢慢懂了，懂爱旳人，却不敢再爱了。——网易云音乐热评《我知道你都知道》,0,网络
A2,网易云,网易云/怎么会不遗憾，你还没见过他单膝下跪求婚的样子、为你做饭的样子、为你和儿女赚钱养家的样子、老了还爱你的样子。——网易云音乐热评《谁》,0,网络
A3,网易云,网易云/愿你不管被这个世界伤害了多少回，第二天早上太阳升起来的时候，你依旧愿意去好奇、去拥抱、去相信、去发现、去等待。——网易云音乐热评《脆弱一分钟》,0,网络
A4,网易云,网易云/我想带你去西藏，在那珠穆朗玛峰上向你单膝下跪求婚。因为那时我高于一切，但是只低于你。——网易云音乐热评《望》,0,网络
A5,网易云,网易云/我想要的故事无非是，故事的开头是我喜欢你，你喜欢我，故事的结局是我们携手一生，暮年时一起坐着摇椅看着夕阳西下。——网易云音乐热评《静悄悄》,0,网络
A6,网易云,网易云/过了那么多年了，我们情散了，遇到了很多人。可是啊，不自觉的发现所有交往过的人都有你的影子。其实在心里，你总是影响着我，如果不是我一直的风格习惯，那么就是你还在我心里，如此简单而已。——网易云音乐热评《someone like you》,0,网络
A7,网易云,网易云/每个人的裂痕，最后都会变成故事的花纹。——网易云音乐热评《会过去的》,0,网络
A8,网易云,网易云/牙疼，你的喜糖就不吃了；不胜酒力，你的喜酒就不喝了；健忘，特别健忘，你叫什么就不记了。——网易云音乐热评《重来》,0,网络
A9,网易云,网易云/你做过一次手术，就知道喝药根本不算什么，你狠狠摔倒过，就知道擦破皮不值得哭，你被背叛过就知道吵两句嘴不伤真感情，希望你慢慢学会长大，希望你开始不在意受伤，希望你伤痕累累，但依然闪闪发光。——网易云音乐热评《学不会》,0,网络
A10,网易云,网易云/真正的爱情不是一时好感，而是明知道没有结果还是有坚持下去的冲动，因为我知道遇见你不容易，错过了会可惜。——网易云音乐热评《天造地设》,0,网络
A11,网易云,网易云/我希望她三十岁没嫁，我也不希望她三十岁没嫁。——网易云音乐热评《三十岁的女人》,0,网络
A12,网易云,网易云/你怎么舍得 ，让一个满眼都是你的人，扛着所有负面情绪，一次又一次逼着自己放下你 ，带着失落从而选择离开。——网易云音乐热评《我走后》,0,网络
A13,网易云,网易云/有人说：要感谢前任让你成长，让你变得更好。我觉得不是这样，那些痛不欲生，撕心裂肺的日子，都是你咬着牙一天天熬过来的，凭什么要谢别人，你要谢谢你自己。——网易云音乐热评墙《说散就散》,0,网络
A14,网易云,网易云/人生最好的三个词：“久别重逢，失而复得，虚惊一场。”却唯独没有一个词叫“和好如初”，和好容易，如初多难啊。 ——网易云音乐热评《路过人间》 ,0,网络
A15,网易云,网易云/如果一段感情，没能把你变成更好的人，只是把你变得患得患失喜怒无常，那真遗憾，你跟错人了。——网易云音乐热评《唉声叹气》,0,网络
A16,网易云,网易云/孩子们哭，是因为他们知道哭会令他们得到想要的，而大人们哭， 通常是因为永远的失去。成长啊，真是个可怕的东西。——网易云音乐热评《你说》,0,网络
A17,网易云,网易云/一个人的时候安全感来源于钱，两个人的时候安全感来源于偏爱。这个年头遇见性和喜欢并不稀罕，稀罕的是遇见一个偏爱你的人。女生的安全感其实来自于偏爱，人只有在确定自己不会被抛弃之后，才会心安。这个世界上最让人底气十足的事，是被偏爱。——网易云音乐热评《失语者》,0,网络
A18,网易云,网易云/齐宣王放弃自尊来求钟无艳，带她走出天牢去救自己的江山的一刻，钟无艳撒娇地说，你背我啊。在他背上，一刻关怀，似一世宠爱。——网易云音乐热评《钟无艳》,0,网络
A19,网易云,网易云/刘翔是唯一一个在直线跑道上真正打败黑人的运动员，甚至创造了连白人都没做到的记录。刘翔参加了48次世界大赛，36次冠军，6次亚军，3次季军，然而有些人却只记得他退赛2次。——网易云音乐热评《追梦赤子心》,0,网络
A20,网易云,网易云/最尴尬的就是，人家根本不把你当回事，你还多愁善感到不行，永远也不要高估你在别人心中的地位，其实你什么都不是，多你一个也不多，少你一个也不少。——网易云音乐热评《二皮脸》,0,网络
A21,网易云,网易云/幸好你给的失望够多，我的离开也算值得。——网易云音乐热评《绿色》,0,网络
A22,网易云,网易云/我假装不懂，你也故作轻松，错过就错过，人嘛，总要有点性格。——网易云音乐热评《苦中作乐》,0,网络
