id,tag,value,copyCount,author
K1,骂人宝典,骂人宝典/脑子转不过弯可以，但别进水,0,网络
K2,骂人宝典,骂人宝典/对于丑人，细看是一种残忍。——钱钟书,0,网络
K3,骂人宝典,"骂人宝典/|    | |    / |  /~~ |  
|    | |   /  |   `--.    |  
|    | |        |   \__/   |__",0,网络
K4,骂人宝典,骂人宝典/受累咱照照镜子猜个灯谜，看着你自打个百年老字号—狗不理,0,网络
K5,骂人宝典,骂人宝典/网络上你重拳出击，现实中你蹬着三轮卖鸡,0,网络
K6,骂人宝典,骂人宝典/宁脖子上是顶了个肿瘤吗,0,网络
K7,骂人宝典,骂人宝典/吃两包板蓝根找个阴凉的地方防止尸体发臭,0,网络
K8,骂人宝典,骂人宝典/哦！上帝啊！看看这个丑陋的土拨鼠吧！我真想用我的靴子踢爆他的屁股！,0,网络
K9,骂人宝典,骂人宝典/东方不亮西方亮 傻逼啥样你啥样,0,网络
K10,骂人宝典,骂人宝典/这么喜欢装逼 下辈子当条内裤好了,0,网络
K11,骂人宝典,骂人宝典/做了人类想成仙，生在地上要上天。——鲁迅,0,网络
K12,骂人宝典,骂人宝典/妹妹脸上腮红太淡了，姐姐用手掌给你补补吧。,0,网络
K13,骂人宝典,骂人宝典/我今天想骂人 所以不骂你,0,网络
K14,骂人宝典,骂人宝典/你看上去好眼熟 像我昨天扔出去的那袋垃圾,0,网络
K15,骂人宝典,骂人宝典/但凡你爸妈当年多唠嗑一分钟 今天也就少了个要分类的垃圾,0,网络
K16,骂人宝典,骂人宝典/咦，你嘴咋这么臭呢？刚吃完屎？,0,网络
K17,骂人宝典,骂人宝典/脑瘫只能是脑瘫，毕竟医学都救不了你,0,网络
K18,骂人宝典,骂人宝典/户口本单页的小可怜,0,网络
K19,骂人宝典,骂人宝典/我希望你能做条好狗不要总像得了狂犬病一样到处咬人,0,网络
K20,骂人宝典,骂人宝典/妈妈告诉我不能骂人，可不是每个人都有妈妈,0,网络
K21,骂人宝典,骂人宝典/你脖子上面顶的是肿瘤吗？,0,网络
K22,骂人宝典,骂人宝典/脑子里有哏儿吧，用不用我联系兽医给你开个颅？但是我看你这情况得眉毛以下截肢,0,网络
K23,骂人宝典,骂人宝典/你脖子上长的是什么，公共厕所吗？你鼻子下长的是什么，屎壳郎之家吗？,0,网络
K24,骂人宝典,骂人宝典/你应该很喜欢健身吧看你抬杠的不错。,0,网络
K25,骂人宝典,骂人宝典/你是莎士比亚没有士亚,0,网络
K26,骂人宝典,骂人宝典/那张脸，就像十九世纪没卖出去，二十世纪又砸在手里的赔钱货。——夏目漱石,0,网络
K27,骂人宝典,骂人宝典/如果长得丑算残疾的话，那你可以去领残疾证了,0,网络
K30,骂人宝典,骂人宝典/你说你是公主，问你在哪个ktv工作你又不说？,0,网络
K31,骂人宝典,骂人宝典/xxThe pee，轰天地，一下轰到，意大利，意大利的国王正在看戏，闻到这股屁，非常满意，叫上将军大臣一起来放屁,0,网络
K32,骂人宝典,骂人宝典/你怎么不在了啊是专门装哑巴上街卖艺了吗可惜你无才无艺二胡捧你手机就断线建议没异能还是不要哑巴恰烂钱,0,网络
K33,骂人宝典,骂人宝典/你长脑袋只是为了让自己看起来高一点吧,0,网络
K34,骂人宝典,骂人宝典/你知道百度为什么搜不到你吗？你要去搜狗,0,网络
K35,骂人宝典,骂人宝典/不必自卑，虽然你智商方面和我的差距就像是我和爱因斯坦，但你的户口本所占用的空间比我少一大坨,0,网络
K36,骂人宝典,骂人宝典/真好啊 你出生就是户主,0,网络
K37,骂人宝典,骂人宝典/你脑子里的水倒出来是不是当初冲了龙王庙又漫了金山？,0,网络
K38,骂人宝典,骂人宝典/蛆虫会说话？真是生物学奇迹！,0,网络
K39,骂人宝典,骂人宝典/拿你当人的时候，你尽量装得像点好吗,0,网络
K40,骂人宝典,骂人宝典/你脑子里的水倒出来是不是当初冲了龙王庙又漫了金山？,0,网络
K41,骂人宝典,骂人宝典/你嘴在化粪池都泡开花了,0,网络
K42,骂人宝典,骂人宝典/你家户口本就一页的吗？,0,网络
K43,骂人宝典,骂人宝典/我是灵长类动物，和家禽没什么好说的,0,网络
K44,骂人宝典,骂人宝典/你是莎士比亚没有士亚,0,网络
K45,骂人宝典,骂人宝典/你爸妈可真会生，好的东西都自个留着,0,网络
K46,骂人宝典,骂人宝典/几个马呢说话这么嚣张,0,网络
K47,骂人宝典,骂人宝典/人老就罢了，何苦成精？——梁实秋,0,网络
K48,骂人宝典,骂人宝典/刚刚火葬场打电话过来，说妈粘锅了,0,网络
K49,骂人宝典,骂人宝典/你在野区刷微信步数？,0,网络
K50,骂人宝典,骂人宝典/我想啐你，但又怕玷污了我的唾液,0,网络
K51,骂人宝典,骂人宝典/天晴了，雨停了，你就觉得你行了。,0,网络
K52,骂人宝典,骂人宝典/长的像人真的难为你了。,0,网络
K53,骂人宝典,骂人宝典/你这种人，在几百集电视剧里活不过第一集,0,网络
