id,tag,value,copyCount,author
T1,鲁迅,鲁迅/我想大抵是累了，横竖都没有精神，随意翻了几本书，眼皮倦倦的，仔细看了半夜，才从字缝里看出来，满眼都是“宵夜”。,0,网络
T2,鲁迅,鲁迅/我大抵是倦了，横竖瘦不下来，起身盛一碗饭，这忧伤没由来的，黯黯然看着那两只空碗，一只是我吃的，另一只也是我吃的，我向来是不屑于多吃一碗饭的，而如今却也生出了贪婪的念头。也罢，大概是这饭太香，减肥不提也罢！,0,网络
T3,鲁迅,鲁迅/我大抵是胖了，横竖都穿不进去，这赘肉没由来的，黯黯然看着那几件衣服，这件是我的，那件也是我的，而如今却一件也穿不上，也罢，大概是该添置些衣服了吧！,0,网络
T4,鲁迅,鲁迅/我大抵是病了，总感觉好像是饿的，吃的时候总是不知深浅，一顿海塞，罢了撑死我算了。,0,网络
T5,鲁迅,鲁迅/横竖都瘦不下来，索性就不减了吧。,0,网络
T6,鲁迅,鲁迅/我大抵是不想上班的，横竖都感到没有意趣，但这班确是不能不上的，所欲为何？只见这几案上文件中横七竖八的写着两个大字：没钱！,0,网络
T7,鲁迅,鲁迅/我生了两只脚，一只脚不想上班，另一只脚也不想上班。,0,网络
T8,鲁迅,鲁迅/对着人脸打卡机一扫，这张脸没有生气，瞳孔里倒印着诸如奋斗、拼搏、诚信之类密密麻麻的小词，我死活看不清楚，凑极近了仔细看了几分钟，才从像素上看出字来，满屏幕都上都闪烁着两个字，是“迟到！”,0,网络
T9,鲁迅,鲁迅/工位上有两个我，一个是我，另一个也是我，因为我裂开了。,0,网络
T10,鲁迅,"鲁迅/今日的事已不必再提，皆因钱财不够，我大抵是得给先生写一份文书了。之所以说是文书,因为若是叫做辞职信，不免有种低三下四的味道，我当不必如此。人非圣贤孰能无过，我不过是贪钱罢了。",0,网络
T11,鲁迅,鲁迅/我想大抵是南风天回潮，空气变得异常湿润，墙壁上挂着水珠，我想我应该是和这墙一样的，不干了。,0,网络
T12,鲁迅,鲁迅/我想大抵是倦了，横竖都学不进去，起身泡一杯茶，这忧伤没由来。黯黯然看着那两本高数，一本是我的，另一本也是我的。,0,网络
T13,鲁迅,鲁迅/翻来覆去睡不着，仔细看高数看了半夜，才从字缝里看出字来，满本都写着几个字，“来不及了，放开玩吧”。,0,网络
T14,鲁迅,鲁迅/我真傻，真的，我单知道社畜会emo，没想到学生也会。,0,网络
T15,鲁迅,鲁迅/世上本没有女朋友，有的人多了，我觉得我也应该有。,0,网络
T16,鲁迅,鲁迅/大抵是到了该寻一个伙子的年纪了，近来夜里冷的厉害，特别是心里，两床被子面对这寒冬的挑畔，也显得有些许吃力了，或许只有心仪小伙的照料，才能让我感到温暖了吧！,0,网络
T17,鲁迅,鲁迅/初冬已至，外面的麻雀在枯黄草坪上叽叽喳喳的寻找着种子，路边的流浪狗翻找着呼啦呼啦响的垃圾桶，我抬头看了看天，已经过了响午了，今天的饭食还没有着落，我裹紧了破烂的衣衫，加紧了步伐朝外走去，晚了怕是垃圾桶都被翻干净了。,0,网络
T18,鲁迅,鲁迅/你有两只手，一只可以给我点赞，另一只也可以给我点赞,0,网络
T19,鲁迅,鲁迅/大抵是一个人生活的久了，我竟羡慕窗外的雀鸟成双的影子。,0,网络
T20,鲁迅,鲁迅/我生了两只脚，一只脚不想上班，另一只脚也不想上班。,0,网络
T21,鲁迅,鲁迅/我本来没有喜欢的人，见你的次数多了，也便有了。,0,网络
T22,鲁迅,鲁迅/猛兽总是躺平，牛马才成群内卷。,0,网络
T23,鲁迅,鲁迅/我大抵是病了，坐板凳上不想背四级，趴桌子上，玩手机，抖腿，这悲伤没由来的，黯然的看着四级书里的很多单词，一章是不会背的，另一张也是不会背。,0,网络
T24,鲁迅,鲁迅/我大抵是病了，躺在床上横竖睡不着，坐起来静静地看着窗外，这悲伤没由得来，黯然的看着床头的两个枕头，一个是我的，另一个也是我的。,0,网络
T25,鲁迅,鲁迅/我想大抵是倦了，横竖都学不进去，起身泡一杯茶，这忧伤没由来，黯黯然看着那两本高数，一本是我的，另一本也是我的。,0,网络
T26,鲁迅,鲁迅/我有两个念头，一个是想退休，另一个也是想退休。我大抵是病了，横竖睡不着，这悲伤没由来的，满脸写着两个字“穷病”。,0,网络
T27,鲁迅,鲁迅/我大抵是倦了，横竖都起不来，屋外的风声犹如恶狼在咆哮，心情复杂的没有来由；侧身躺着，翻开天气讯息，每每都是降温的讯息，而今日心中却意外地生出了抗拒上班的念头；也罢，大抵是冬天到了吧。,0,网络
T28,鲁迅,鲁迅/大抵是到了该寻个小伙子的年纪了，近来夜里冷的厉害，特别是心里，两床被子面对这寒冷的挑衅，也显得有些许吃力了，或许只有心仪小伙的照料，才能让我感到温暖罢了。,0,网络
T29,鲁迅,鲁迅/我大抵是不愿洗头发，但干枯打结的发尾，隐约嗅到的头油味，甚至连带着头皮都在提醒我该洗漱打理一下头发，每当冬天到来，我都想我要是个光头该多好，如此我摸了一下头发，又掉了好些头发，心中甚是忐忑，要真掉成了光头，我可如何是好，左想右想，脑海里都只剩下该洗二字。人非圣贤孰能无过，我不过是懒惰罢了。,0,网络
T30,鲁迅,鲁迅/我想大抵是南方天回潮，空气变得异常湿润，墙壁上挂在水珠，不干了，我想我应该也是和这墙一样的，不干了。,0,网络
T31,鲁迅,鲁迅/我大抵是乏了，横竖都开心不起来，站起身来皱了眉头，这悲伤是没来由的，朋友看了我的脸，有两道皱纹，抬头纹是我的，法令纹也是我的，向来是胶原蛋白稚气满脸，而今日脸上却多了一丝成熟。也罢，这大抵就是成年人的生活吧。,0,网络
T32,鲁迅,鲁迅/我翻开历史一查，这历史没有年代，歪歪斜斜的每页上都写着“双十一”“双十二”几个字，我横竖睡不着，仔细看了半夜，才从字缝里看出字来，满本都写着两个字“没钱”。,0,网络
T33,鲁迅,鲁迅/我大抵是认真了，横竖都无法安慰自己，这情绪油然而来，思虑幻想着这段感情的结果，受伤是我，难过也是我，我向来是不屑这种情情爱爱的事情，而如今却生出来了相伴一人的念头。也罢，大抵是冬天来临了。,0,网络
T34,鲁迅,鲁迅/我裹紧了破烂衣衫，加紧了步伐朝外走去，晚了怕是垃圾桶都被翻干净了。,0,网络
T35,鲁迅,鲁迅/大抵是上了岁数，独自匆忙赶路的时候倒也没觉着什么，待到吃饭时，一双筷子一只碗，到底是尝出些孤独来。,0,网络
T36,鲁迅,鲁迅/我大抵是倦了，横竖都起不来，屋外的风声犹如饿狼在咆哮，心情复杂的没有来由，侧身躺着，翻开天气讯息，每每都是降温的讯息，而今日更是生出来抗拒上课的念头；也罢，大抵是冬天到了吧！,0,网络
T37,鲁迅,鲁迅/我大抵是胖了，横竖都穿不进去，这赘肉没由来的，黯黯然看着那几件衣服，这件是我的，那件也是我的，而如今却一件也穿不上，也罢，大概是该添置些衣服了吧！,0,网络
T38,鲁迅,鲁迅/我大抵是饿了，腹里饿得厉害 ，面对上教师讲的课 ，也显得有些许吃力了，或许只有食堂，才能让我感到舒适了吧！,0,网络
T39,鲁迅,"鲁迅/我大抵是不愿做家务了，横竖都做不下去，起来泡一杯茶，这忧伤没由来的，黯然看着那两盆衣服，一盆是我的，另一盆也是我的，我向来是不屑于做这种事的，而如今却生出偷懒的年头。
也罢，大概是冬天到了吧！",0,网络
T40,鲁迅,鲁迅/我大抵是不愿减肥的，横竖都减不下去，起来吃一包辣条。这忧伤没由来的，黯黯然看着那两坨肉。一坨是我的。另一坨也是我的。我向来是不屑于做这事的。而如今日生出了偷懒的念头。也罢。大概是夏天过去了罢！,0,网络
T41,鲁迅,鲁迅/大抵是到了该寻一个伙子的年纪了，近来夜里冷的厉害，特别是心里，2床被子面对这寒冬的挑畔，也显得有些许吃力了，或许只有心仪小伙的照料，才能让我感到温暖了吧!,0,网络
T42,鲁迅,鲁迅/我想大抵是累了，横竖都没有精神，随意翻了几本书，眼皮惓倦的，仔细看了半夜，才从字缝里看出来，满眼都是夜宵！,0,网络
T43,鲁迅,鲁迅/我想大抵是南方天回潮，空气变得异常湿润，墙壁上挂的水珠，不干了，我想我也是和这墙一样，不干了，我有两个念头，一个是想退休，另一个也是想退休。,0,网络
T44,鲁迅,鲁迅/我大抵是有钱了了，衣柜里的衣服怎么都看不惯，这衣服衬托不出我的富，黯黯然看着满衣柜的衣服，这件是我的，那件也是我的，而如今却一件也穿不出我的富，也罢，大概是该添置些衣服了吧。,0,网络
T45,鲁迅,鲁迅/我大抵是不愿上班的，福竖都不想上，起来打开电脑，这忧伤没由来的，默默然看着那两个需求，一个是我的，另一个也是我的，我向来是不屑于做这点事的.而如今却生出了偷懒的念头.也罢，大概是很久没涨工资了吧!,0,网络
T46,鲁迅,"鲁迅/你大抵是渴了，
你站在那里别动，我去给你买橘子",0,网络
T47,鲁迅,"鲁迅/院内的枣树不知怎的
今年竟也结了几颗果实
不好，略显苦涩
但转念一想昨晚梦中的那位女子
倒也甜了几分",0,网络
T48,鲁迅,"鲁迅/大抵是病了，夜里辗转反侧难以入眠
坐起身来
偶然借着那月光看到那墙壁上
竟皆是你的名字
",0,网络
T49,鲁迅,"鲁迅/我偷偷碰了你一下
却不料你如蒲公英散开
此后到处都是你的模样",0,网络
T50,鲁迅,"鲁迅/我大抵是病了
横竖都睡不着
坐起身来点起了一支烟
院子外的狗叫了
我也跟着叫了起来
我也跟着叫了起来",0,网络
T51,鲁迅,"鲁迅/我本来没有喜欢的人
见你的次数多了
也便有了",0,网络
T52,鲁迅,"鲁迅/路灯下的三个影子
一个是我的
另一个也是我的
还有一个是我们的",0,网络
T53,鲁迅,"鲁迅/大抵是风又起
我的思绪跟随你的美一路涣散
心神迷离",0,网络
T54,鲁迅,"鲁迅/我把这世间分为三部分
一是吃穿住行
二是文言纸墨
最后便是你",0,网络
T55,鲁迅,"鲁迅/今天还是没下雪啊
冬天一定要下雪吗
不是这样的，大抵是没有雪的冬天，无甚意思",0,网络
T56,鲁迅,"鲁迅/我本来没有喜欢的人
见你的次数多了，也便有了",0,网络
T57,鲁迅,"鲁迅/夜来，望见未完成的章文
便点燃一支烟，奋笔疾书
沉沉睡去，便只有了你。",0,网络
T58,鲁迅,"鲁迅/我大抵是喜欢上你了
桌上的纸我看了许久
想了许久，当我看向窗外又看向纸时
纸上空无一字
却又感觉写满了爱意",0,网络
T59,鲁迅,鲁迅/那日看雪，她从未看我，我从未看雪,0,网络
T60,鲁迅,"鲁迅/门前有俩课树
一棵树枣树
另一棵也是枣树",0,网络
T61,鲁迅,"鲁迅/错过了长安古意
失约了京城初雪
我在姑苏致以谢意
瞥见各位喜爱
真是满心欢喜",0,网络
T62,鲁迅,"鲁迅/我梦见自己在小学校的课堂上预备作文
先生曰题目为：“缘分”。我百思不解
一觉醒来惊觉，我是缘你是份
如若不让这二字在一起
那写完了作文的梦是不大会做了",0,网络
T63,鲁迅,"鲁迅/我寄你的信
总要送往邮局
不喜欢放在街边的绿色邮筒中
我总疑心那里会慢一点",0,网络
T64,鲁迅,"鲁迅/许是近些日子太闲
到门外吹吹风
巷里踱踱步
也觉十分惬意
但终是缺了个说话的人。",0,网络
T65,鲁迅,"鲁迅/梧桐的落叶已经尽了
就连木摇椅也已经腐坏了
我将报纸埋在树下
连同着那片落叶一起",0,网络
T66,鲁迅,"鲁迅/从我拿起笔，准备叙述你的细节开始
总是忍不住走神，真抱歉
情话没写出几个
但我却真真实实想了你四十几分钟
回过神来只写了两个字",0,网络
T67,鲁迅,"鲁迅/大抵是太久未见你了
以至于我看谁都像你
又都差点意思",0,网络
T68,鲁迅,"鲁迅/许是近些日子太闲
到门外吹吹风
巷里踱踱步
也觉十分惬意
但终是缺了个说话的人。",0,网络
T69,鲁迅,"鲁迅/清风拂过我红又热的脸颊
想到了一位年轻男子
他也和我并肩走过这条路
可…罢了他还是离开了",0,网络
T70,鲁迅,"鲁迅/不知何时 风又起了
落叶纷飞
我竟看得如此痴迷
大抵风也知道我在思念着某人
风停了 也罢",0,网络
T71,鲁迅,"鲁迅/我习惯地剥开一个橘子
掰成两半，一半尝起来很甜
大抵是想到了些什么
吃起另一半，不知为何
竟会这般苦涩
自那以后便再也没有吃过",0,网络
T72,鲁迅,"鲁迅/我平素是不善多言辞的
故而写下这三两句闲词
依稀记不大清楚了
原应是想写给你听罢
大抵是俗气的很
我向来是不好记得这些的
倒也反落得个自在
至于你也总望向屋外的老槐树
一棵树在想你，树人也在想你",0,网络
T73,鲁迅,"鲁迅/鲁镇的雪下的很急
得去布店裁些布来做衣过冬才好。
“老板，量两匹布来。”
“好嘞”
“这天可真是冷得紧
连迅哥都得要两匹布了！
往年可是一匹都嫌多的”
我愣了下，没有言语
我想这时我大抵知晓我爱上你了。
",0,网络
T74,鲁迅,鲁迅/大抵是一个人生活的久了，我竟羡慕窗外的雀鸟成双的影子。,0,网络
T75,鲁迅,鲁迅/我生了两只脚，一只脚不想上班，另一只脚也不想上班。,0,网络
T76,鲁迅,鲁迅/我大抵是倦了，横竖都起不来，屋外的风声犹如恶狼在咆哮，心情复杂的没有来由；侧身躺着，翻开天气讯息，每每都是降温的讯息，而今日心中却意外地生出了抗拒上课/上班的念头；也罢，大抵是冬天到了吧。,0,网络
T77,鲁迅,鲁迅/我想大抵是南方天回潮，空气变得异常湿润，墙壁上挂在水珠，不干了，我想我应该也是和这墙一样的，不干了。,0,网络
T78,鲁迅,鲁迅/我大抵是乏了，横竖都开心不起来，站起身来皱了眉头，这悲伤是没来由的，朋友看了我的脸，有两道皱纹，抬头纹是我的，法令纹也是我的，向来是胶原蛋白稚气满脸，而今日脸上却多了一丝成熟。也罢，这大抵就是成年人的生活吧。,0,网络
T79,鲁迅,鲁迅/我翻开历史一查，这历史没有年代，歪歪斜斜的每页上都写着“双十一”“双十二”几个字。我横竖睡不着，仔细看了半夜，才从字缝里看出字来，满本都写着两个字“没钱”。,0,网络
T80,鲁迅,鲁迅/大抵是到了该寻个小伙子的年纪了，近来夜里冷的厉害，特别是心里。两床被子面对这寒冷的挑衅，也显得有些许吃力了，或许只有心仪小伙的照料，才能让我感到温暖罢了。,0,网络
T81,鲁迅,鲁迅/大抵是该寻一个姑娘的年纪了，近来夜里冷的厉害，特别是心里。两床被子面对这寒冷的挑衅，也显得有些许吃力了，或许只有心仪的姑娘的照料，才能让我感到温暖罢了。,0,网络
T82,鲁迅,鲁迅/中国人的性情是总喜欢调和折中的，譬如你说，我要辞职，领导一定不允许的。但如果你主张涨工资他们就来调和，愿意离职了。,0,网络
T83,鲁迅,鲁迅/今日提笔，想写封信给你，想了想，正准备落笔，发觉这日头已落了山。,0,网络
