one,two,three,four,five,author,title
西,陸,蟬,聲,唱,駱賓王,在嶽詠蟬
南,冠,客,思,侵,駱賓王,在嶽詠蟬
那,堪,玄,鬢,影,駱賓王,在嶽詠蟬
來,對,白,頭,吟,駱賓王,在嶽詠蟬
露,重,飛,難,進,駱賓王,在嶽詠蟬
風,多,響,易,沈,駱賓王,在嶽詠蟬
無,人,信,高,潔,駱賓王,在嶽詠蟬
誰,爲,表,予,心,駱賓王,在嶽詠蟬
前,不,見,古,人,陳子昂,登幽州臺歌
後,不,見,來,者,陳子昂,登幽州臺歌
夫,子,何,爲,者,明皇帝,經鄒魯祭孔子而歎之
栖,栖,一,代,中,明皇帝,經鄒魯祭孔子而歎之
地,猶,鄹,氏,邑,明皇帝,經鄒魯祭孔子而歎之
宅,即,魯,王,宮,明皇帝,經鄒魯祭孔子而歎之
歎,鳳,嗟,身,否,明皇帝,經鄒魯祭孔子而歎之
傷,麟,怨,道,窮,明皇帝,經鄒魯祭孔子而歎之
今,看,兩,楹,奠,明皇帝,經鄒魯祭孔子而歎之
當,與,夢,時,同,明皇帝,經鄒魯祭孔子而歎之
與,君,歌,一,曲,李白,鼓吹曲辭 將進酒
明,月,出,天,山,李白,橫吹曲辭 關山月
蒼,茫,雲,海,間,李白,橫吹曲辭 關山月
長,風,幾,萬,里,李白,橫吹曲辭 關山月
吹,度,玉,門,關,李白,橫吹曲辭 關山月
漢,下,白,登,道,李白,橫吹曲辭 關山月
胡,窺,青,海,灣,李白,橫吹曲辭 關山月
由,來,征,戰,地,李白,橫吹曲辭 關山月
不,見,有,人,還,李白,橫吹曲辭 關山月
戍,客,望,邊,色,李白,橫吹曲辭 關山月
思,歸,多,苦,顏,李白,橫吹曲辭 關山月
高,樓,當,此,夜,李白,橫吹曲辭 關山月
歎,息,未,應,閑,李白,橫吹曲辭 關山月
三,日,入,廚,下,王建,新嫁娘詞三首 三
洗,手,作,羹,湯,王建,新嫁娘詞三首 三
未,諳,姑,食,性,王建,新嫁娘詞三首 三
先,遣,小,姑,嘗,王建,新嫁娘詞三首 三
寥,落,古,行,宮,王建,故行宮
宮,花,寂,寞,紅,王建,故行宮
白,頭,宮,女,在,王建,故行宮
閑,坐,說,玄,宗,王建,故行宮
本,以,高,難,飽,李商隱,蟬
徒,勞,恨,費,聲,李商隱,蟬
五,更,疎,欲,斷,李商隱,蟬
一,樹,碧,無,情,李商隱,蟬
薄,宦,梗,猶,汎,李商隱,蟬
故,園,蕪,已,平,李商隱,蟬
煩,君,最,相,警,李商隱,蟬
我,亦,舉,家,清,李商隱,蟬
向,晚,意,不,適,李商隱,樂遊原
驅,車,登,古,原,李商隱,樂遊原
夕,陽,無,限,好,李商隱,樂遊原
只,是,近,黃,昏,李商隱,樂遊原
淒,涼,寶,劍,篇,李商隱,風雨
羈,泊,欲,窮,年,李商隱,風雨
黃,葉,仍,風,雨,李商隱,風雨
青,樓,自,管,絃,李商隱,風雨
新,知,遭,薄,俗,李商隱,風雨
舊,好,隔,良,緣,李商隱,風雨
心,斷,新,豐,酒,李商隱,風雨
銷,愁,斗,幾,千,李商隱,風雨
高,閣,客,竟,去,李商隱,落花
小,園,花,亂,飛,李商隱,落花
