one,two,three,four,five,six,seven,author,title
奔,流,到,海,不,復,回,李白,鼓吹曲辭 將進酒
朝,如,青,絲,暮,成,雪,李白,鼓吹曲辭 將進酒
人,生,得,意,須,盡,歡,李白,鼓吹曲辭 將進酒
莫,使,金,尊,空,對,月,李白,鼓吹曲辭 將進酒
天,生,我,材,必,有,用,李白,鼓吹曲辭 將進酒
千,金,散,盡,還,復,來,李白,鼓吹曲辭 將進酒
烹,羊,宰,牛,且,爲,樂,李白,鼓吹曲辭 將進酒
會,須,一,飲,三,百,杯,李白,鼓吹曲辭 將進酒
請,君,爲,我,側,耳,聽,李白,鼓吹曲辭 將進酒
鐘,鼓,饌,玉,不,足,貴,李白,鼓吹曲辭 將進酒
但,願,長,醉,不,復,醒,李白,鼓吹曲辭 將進酒
古,來,聖,賢,皆,寂,寞,李白,鼓吹曲辭 將進酒
惟,有,飲,者,留,其,名,李白,鼓吹曲辭 將進酒
陳,王,昔,時,宴,平,樂,李白,鼓吹曲辭 將進酒
斗,酒,十,千,恣,歡,謔,李白,鼓吹曲辭 將進酒
主,人,何,爲,言,少,錢,李白,鼓吹曲辭 將進酒
徑,須,酤,取,對,君,酌,李白,鼓吹曲辭 將進酒
呼,兒,將,出,換,美,酒,李白,鼓吹曲辭 將進酒
與,爾,同,銷,萬,古,愁,李白,鼓吹曲辭 將進酒
秦,時,明,月,漢,時,關,王昌齡,橫吹曲辭 出塞 一
萬,里,長,征,人,未,還,王昌齡,橫吹曲辭 出塞 一
但,使,龍,城,飛,將,在,王昌齡,橫吹曲辭 出塞 一
不,教,胡,馬,度,陰,山,王昌齡,橫吹曲辭 出塞 一
黃,砂,直,上,白,雲,間,王之渙,橫吹曲辭 出塞
一,片,孤,城,萬,仞,山,王之渙,橫吹曲辭 出塞
羌,笛,何,須,怨,楊,柳,王之渙,橫吹曲辭 出塞
春,風,不,度,玉,門,關,王之渙,橫吹曲辭 出塞
錦,瑟,無,端,五,十,絃,李商隱,錦瑟
一,絃,一,柱,思,華,年,李商隱,錦瑟
莊,生,曉,夢,迷,蝴,蝶,李商隱,錦瑟
望,帝,春,心,託,杜,鵑,李商隱,錦瑟
滄,海,月,明,珠,有,淚,李商隱,錦瑟
藍,田,日,暖,玉,生,煙,李商隱,錦瑟
此,情,可,待,成,追,憶,李商隱,錦瑟
只,是,當,時,已,惘,然,李商隱,錦瑟
君,問,歸,期,未,有,期,李商隱,夜雨寄北
巴,山,夜,雨,漲,秋,池,李商隱,夜雨寄北
何,當,共,剪,西,窗,燭,李商隱,夜雨寄北
却,話,巴,山,夜,雨,時,李商隱,夜雨寄北
元,和,天,子,神,武,姿,李商隱,韓碑
彼,何,人,哉,軒,與,羲,李商隱,韓碑
誓,將,上,雪,列,聖,恥,李商隱,韓碑
坐,法,宮,中,朝,四,夷,李商隱,韓碑
淮,西,有,賊,五,十,載,李商隱,韓碑
封,狼,生,貙,貙,生,羆,李商隱,韓碑
不,據,山,河,據,平,地,李商隱,韓碑
長,戈,利,矛,日,可,麾,李商隱,韓碑
